Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
02-Jan-2026,30-Mar-2026,XX,"-","1,084.00","1,084.00","1,081.90","1,082.00","1,082.00","1,082.00",3000,"32,47,950.00","32,47,950.00",4500,2500
02-Jan-2026,27-Jan-2026,XX,"-","1,077.50","1,089.70","1,072.50","1,085.90","1,086.70","1,085.90",558000,"60,43,14,800.00","60,43,14,800.00",3017500,22000
02-Jan-2026,24-Feb-2026,XX,"-","1,073.80","1,085.20","1,072.10","1,083.50","1,084.30","1,083.50",29000,"3,12,95,000.00","3,12,95,000.00",104500,5000
01-Jan-2026,24-Feb-2026,XX,"-","1,072.10","1,075.40","1,057.60","1,073.80","1,074.90","1,073.80",37500,"3,99,10,000.00","3,99,10,000.00",99500,8500
01-Jan-2026,27-Jan-2026,XX,"-","1,075.20","1,081.60","1,058.80","1,078.60","1,081.00","1,078.60",579000,"61,91,45,300.00","61,91,45,300.00",2995500,68500
01-Jan-2026,30-Mar-2026,XX,"-","1,067.00","1,067.00","1,059.00","1,066.80","1,066.80","1,066.80",1500,"15,96,400.00","15,96,400.00",2000,1000
31-Dec-2025,30-Mar-2026,XX,"-","1,065.70","1,065.70","1,065.60","1,065.60","1,065.60","1,096.60",1000,"10,65,650.00","10,65,650.00",1000,1000
31-Dec-2025,24-Feb-2026,XX,"-","1,078.80","1,079.30","1,065.70","1,075.70","1,076.40","1,075.70",20500,"2,19,89,750.00","2,19,89,750.00",91000,7000
31-Dec-2025,27-Jan-2026,XX,"-","1,083.60","1,087.30","1,068.10","1,078.90","1,076.70","1,078.90",707500,"76,27,62,600.00","76,27,62,600.00",2927000,30000
30-Dec-2025,27-Jan-2026,XX,"-","1,089.80","1,097.00","1,072.30","1,079.60","1,079.80","1,079.60",1035000,"1,12,24,96,100.00","1,12,24,96,100.00",2897000,297000
30-Dec-2025,30-Dec-2025,XX,"-","1,094.50","1,102.70","1,079.40","1,090.00","1,097.00","1,092.10",859500,"93,73,04,955.00","93,73,04,955.00",257400,-394650
30-Dec-2025,24-Feb-2026,XX,"-","1,090.30","1,093.00","1,073.80","1,076.60","1,074.70","1,076.60",35500,"3,83,88,800.00","3,83,88,800.00",84000,15000
29-Dec-2025,24-Feb-2026,XX,"-","1,084.80","1,098.00","1,082.00","1,088.30","1,086.00","1,088.30",26500,"2,88,75,300.00","2,88,75,300.00",69000,7000
29-Dec-2025,27-Jan-2026,XX,"-","1,086.60","1,102.10","1,077.20","1,088.80","1,087.60","1,088.80",1786000,"1,94,64,45,100.00","1,94,64,45,100.00",2600000,743500
29-Dec-2025,30-Dec-2025,XX,"-","1,101.00","1,106.50","1,088.00","1,094.00","1,095.00","1,094.00",1413900,"1,55,03,82,975.00","1,55,03,82,975.00",652050,-886950
26-Dec-2025,27-Jan-2026,XX,"-","1,079.00","1,089.80","1,071.80","1,085.70","1,084.00","1,085.70",1374000,"1,48,88,91,050.00","1,48,88,91,050.00",1856500,559000
26-Dec-2025,30-Dec-2025,XX,"-","1,088.00","1,106.50","1,085.90","1,099.00","1,099.40","1,099.00",1257300,"1,37,44,72,170.00","1,37,44,72,170.00",1539000,-561150
26-Dec-2025,24-Feb-2026,XX,"-","1,076.90","1,088.90","1,075.60","1,084.80","1,078.10","1,084.80",22000,"2,38,13,850.00","2,38,13,850.00",62000,11000
24-Dec-2025,30-Dec-2025,XX,"-","1,106.80","1,118.30","1,088.00","1,090.30","1,089.40","1,090.30",1769400,"1,95,34,37,715.00","1,95,34,37,715.00",2100150,-689850
24-Dec-2025,24-Feb-2026,XX,"-","1,096.00","1,113.60","1,075.60","1,079.40","1,075.60","1,079.40",64500,"7,07,40,950.00","7,07,40,950.00",51000,26500
24-Dec-2025,27-Jan-2026,XX,"-","1,096.10","1,117.10","1,075.50","1,079.00","1,076.20","1,079.00",1749000,"1,92,14,88,850.00","1,92,14,88,850.00",1297500,584500
23-Dec-2025,27-Jan-2026,XX,"-","1,074.00","1,109.40","1,062.10","1,098.20","1,095.20","1,098.20",2859000,"3,12,10,69,700.00","3,12,10,69,700.00",713000,336000
23-Dec-2025,24-Feb-2026,XX,"-","1,065.00","1,109.90","1,063.00","1,097.00","1,096.00","1,097.00",32500,"3,55,66,700.00","3,55,66,700.00",24500,7500
23-Dec-2025,30-Dec-2025,XX,"-","1,071.00","1,110.10","1,066.00","1,099.10","1,095.50","1,099.10",5589450,"6,09,30,89,595.00","6,09,30,89,595.00",2790000,-120600
22-Dec-2025,30-Dec-2025,XX,"-","1,079.00","1,089.70","1,072.20","1,085.70","1,084.80","1,085.70",728550,"78,91,09,200.00","78,91,09,200.00",2910600,-88200
22-Dec-2025,24-Feb-2026,XX,"-","1,073.00","1,085.70","1,072.00","1,083.40","1,083.40","1,083.40",6000,"64,81,300.00","64,81,300.00",17000,500
22-Dec-2025,27-Jan-2026,XX,"-","1,075.40","1,087.90","1,069.50","1,084.60","1,086.50","1,084.60",194500,"21,02,02,600.00","21,02,02,600.00",377000,49500
19-Dec-2025,30-Dec-2025,XX,"-","1,076.60","1,085.30","1,056.60","1,077.50","1,070.40","1,077.50",1557900,"1,67,62,60,305.00","1,67,62,60,305.00",2998800,-188100
19-Dec-2025,24-Feb-2026,XX,"-","1,070.00","1,079.00","1,064.70","1,073.00","1,073.00","1,073.00",4000,"42,98,450.00","42,98,450.00",16500,1000
19-Dec-2025,27-Jan-2026,XX,"-","1,075.10","1,081.70","1,054.80","1,074.10","1,067.00","1,074.10",176000,"18,88,11,250.00","18,88,11,250.00",327500,16000
18-Dec-2025,24-Feb-2026,XX,"-","1,056.30","1,071.30","1,050.40","1,068.60","1,071.30","1,068.60",5000,"52,93,500.00","52,93,500.00",15500,-2500
18-Dec-2025,27-Jan-2026,XX,"-","1,043.60","1,073.30","1,034.60","1,069.50","1,069.00","1,069.50",300500,"31,68,60,500.00","31,68,60,500.00",311500,-29500
18-Dec-2025,30-Dec-2025,XX,"-","1,035.90","1,077.60","1,035.90","1,073.10","1,075.30","1,073.10",1788750,"1,89,20,01,375.00","1,89,20,01,375.00",3186900,-134550
17-Dec-2025,30-Dec-2025,XX,"-","1,038.60","1,040.90","1,027.20","1,031.40","1,030.00","1,031.40",486450,"50,25,10,815.00","50,25,10,815.00",3321450,51750
17-Dec-2025,27-Jan-2026,XX,"-","1,034.40","1,036.20","1,023.50","1,028.30","1,025.40","1,028.30",141500,"14,56,45,650.00","14,56,45,650.00",341000,49000
17-Dec-2025,24-Feb-2026,XX,"-","1,033.50","1,033.50","1,026.00","1,033.30","1,033.30","1,033.30",3500,"36,04,150.00","36,04,150.00",18000,500
16-Dec-2025,27-Jan-2026,XX,"-","1,042.30","1,042.30","1,031.20","1,033.00","1,031.40","1,033.00",78500,"8,13,31,250.00","8,13,31,250.00",292000,31000
16-Dec-2025,30-Dec-2025,XX,"-","1,052.00","1,052.00","1,032.10","1,035.20","1,032.10","1,035.20",438750,"45,57,96,450.00","45,57,96,450.00",3269700,94950
16-Dec-2025,24-Feb-2026,XX,"-","1,038.00","1,043.00","1,032.90","1,033.50","1,033.00","1,033.50",5500,"56,98,400.00","56,98,400.00",17500,1500
15-Dec-2025,24-Feb-2026,XX,"-","1,047.10","1,053.10","1,045.90","1,051.60","1,051.60","1,051.60",4500,"47,24,500.00","47,24,500.00",16000,2500
15-Dec-2025,30-Dec-2025,XX,"-","1,055.70","1,059.00","1,040.50","1,053.80","1,052.80","1,053.80",543600,"57,18,06,945.00","57,18,06,945.00",3174750,27450
15-Dec-2025,27-Jan-2026,XX,"-","1,051.80","1,055.50","1,038.20","1,051.10","1,050.50","1,051.10",70000,"7,33,64,500.00","7,33,64,500.00",261000,13000
12-Dec-2025,27-Jan-2026,XX,"-","1,077.50","1,077.50","1,048.00","1,054.60","1,054.90","1,054.60",86500,"9,16,77,650.00","9,16,77,650.00",248000,28500
12-Dec-2025,30-Dec-2025,XX,"-","1,079.80","1,082.00","1,048.80","1,056.60","1,056.20","1,056.60",842850,"89,53,17,975.00","89,53,17,975.00",3147300,113400
12-Dec-2025,24-Feb-2026,XX,"-","1,050.00","1,057.00","1,050.00","1,055.20","1,055.70","1,055.20",4000,"42,18,400.00","42,18,400.00",13500,3000
11-Dec-2025,30-Dec-2025,XX,"-","1,028.80","1,089.70","1,028.80","1,079.10","1,076.90","1,079.10",1586250,"1,69,74,69,570.00","1,69,74,69,570.00",3033900,-388800
11-Dec-2025,27-Jan-2026,XX,"-","1,031.30","1,087.40","1,027.90","1,076.20","1,074.20","1,076.20",175500,"18,62,30,600.00","18,62,30,600.00",219500,-5000
11-Dec-2025,24-Feb-2026,XX,"-","1,053.00","1,080.00","1,053.00","1,080.00","1,080.00","1,086.20",9500,"1,00,45,900.00","1,00,45,900.00",10500,-3000
10-Dec-2025,24-Feb-2026,XX,"-","1,033.90","1,033.90","1,033.90","1,033.90","1,033.90","1,037.70",500,"5,16,950.00","5,16,950.00",13500,500
10-Dec-2025,27-Jan-2026,XX,"-","1,043.00","1,044.70","1,019.00","1,024.10","1,022.60","1,024.10",52000,"5,36,10,950.00","5,36,10,950.00",224500,9000
10-Dec-2025,30-Dec-2025,XX,"-","1,044.90","1,052.90","1,022.00","1,026.60","1,024.00","1,026.60",574200,"59,29,31,250.00","59,29,31,250.00",3422700,111150
09-Dec-2025,30-Dec-2025,XX,"-","1,040.10","1,051.30","1,020.20","1,041.40","1,041.70","1,041.40",868950,"90,11,66,805.00","90,11,66,805.00",3311550,-131850
09-Dec-2025,27-Jan-2026,XX,"-","1,031.40","1,047.60","1,017.00","1,037.00","1,037.00","1,037.00",40500,"4,19,14,700.00","4,19,14,700.00",215500,-3000
09-Dec-2025,24-Feb-2026,XX,"-","1,030.00","1,033.70","1,020.70","1,033.70","1,033.70","1,051.70",2500,"25,66,050.00","25,66,050.00",13000,500
08-Dec-2025,30-Dec-2025,XX,"-","1,060.60","1,080.00","1,038.80","1,045.30","1,045.60","1,045.30",855000,"90,14,48,955.00","90,14,48,955.00",3443400,120150
08-Dec-2025,24-Feb-2026,XX,"-","1,073.00","1,077.00","1,040.00","1,040.00","1,040.00","1,054.30",4000,"42,40,450.00","42,40,450.00",12500,2000
08-Dec-2025,27-Jan-2026,XX,"-","1,068.50","1,078.80","1,036.10","1,044.10","1,041.80","1,044.10",58500,"6,17,44,950.00","6,17,44,950.00",218500,4000
05-Dec-2025,24-Feb-2026,XX,"-","1,070.00","1,085.00","1,066.00","1,066.00","1,066.00","1,079.40",4000,"42,77,550.00","42,77,550.00",10500,2500
05-Dec-2025,27-Jan-2026,XX,"-","1,075.70","1,088.30","1,057.90","1,072.50","1,074.90","1,072.50",550500,"59,03,89,450.00","59,03,89,450.00",214500,31000
05-Dec-2025,30-Dec-2025,XX,"-","1,078.70","1,088.50","1,058.00","1,071.30","1,074.80","1,071.30",2847600,"3,05,43,13,350.00","3,05,43,13,350.00",3323250,39150
04-Dec-2025,30-Dec-2025,XX,"-","1,075.20","1,098.80","1,061.50","1,081.20","1,081.20","1,081.20",3240000,"3,50,57,36,835.00","3,50,57,36,835.00",3284100,-63000
04-Dec-2025,27-Jan-2026,XX,"-","1,073.70","1,096.20","1,062.40","1,079.80","1,078.10","1,079.80",428000,"46,21,44,250.00","46,21,44,250.00",183500,12500
04-Dec-2025,24-Feb-2026,XX,"-","1,081.50","1,090.00","1,081.50","1,090.00","1,090.00","1,089.50",1000,"10,85,750.00","10,85,750.00",8000,1000
03-Dec-2025,30-Dec-2025,XX,"-","1,088.50","1,102.00","1,067.70","1,077.60","1,076.90","1,077.60",2330550,"2,52,40,48,560.00","2,52,40,48,560.00",3347100,218250
03-Dec-2025,24-Feb-2026,XX,"-","1,074.00","1,097.00","1,071.00","1,075.00","1,075.00","1,075.00",3500,"37,77,800.00","37,77,800.00",7000,1500
03-Dec-2025,27-Jan-2026,XX,"-","1,075.90","1,101.50","1,067.40","1,075.70","1,077.00","1,075.70",511000,"55,38,63,300.00","55,38,63,300.00",171000,14500
02-Dec-2025,24-Feb-2026,XX,"-","1,095.00","1,107.30","1,090.00","1,090.00","1,090.00","1,097.80",2500,"27,39,950.00","27,39,950.00",5500,2500
02-Dec-2025,27-Jan-2026,XX,"-","1,101.50","1,107.50","1,082.10","1,089.50","1,090.00","1,089.50",254000,"27,90,78,300.00","27,90,78,300.00",156500,22000
02-Dec-2025,30-Dec-2025,XX,"-","1,101.80","1,110.00","1,080.60","1,088.70","1,090.10","1,088.70",1484100,"1,62,86,04,045.00","1,62,86,04,045.00",3128850,-67500
01-Dec-2025,27-Jan-2026,XX,"-","1,075.00","1,119.00","1,075.00","1,101.80","1,101.00","1,101.80",116000,"12,75,11,150.00","12,75,11,150.00",134500,16000
01-Dec-2025,24-Feb-2026,XX,"-","1,079.80","1,115.00","1,079.80","1,101.00","1,101.00","1,110.90",3500,"38,52,950.00","38,52,950.00",3000,2500
01-Dec-2025,30-Dec-2025,XX,"-","1,075.70","1,120.60","1,075.70","1,101.70","1,103.40","1,101.70",3081150,"3,39,57,63,585.00","3,39,57,63,585.00",3196350,66600
28-Nov-2025,30-Dec-2025,XX,"-","1,073.90","1,073.90","1,058.10","1,063.70","1,066.00","1,063.70",271800,"28,91,06,910.00","28,91,06,910.00",3129750,22950
28-Nov-2025,24-Feb-2026,XX,"-","-","-","-","1,079.80","1,079.80","1,071.00",0,"-","-",500,0
28-Nov-2025,27-Jan-2026,XX,"-","1,065.80","1,069.00","1,060.60","1,061.80","1,064.10","1,061.80",18500,"1,96,64,700.00","1,96,64,700.00",118500,4000
27-Nov-2025,24-Feb-2026,XX,"-","-","-","-","1,079.80","1,079.80","1,080.50",0,"-","-",500,0
27-Nov-2025,30-Dec-2025,XX,"-","1,082.10","1,082.10","1,067.00","1,073.00","1,072.10","1,073.00",335700,"36,02,34,765.00","36,02,34,765.00",3106800,-73350
27-Nov-2025,27-Jan-2026,XX,"-","1,075.50","1,075.50","1,065.50","1,070.60","1,070.60","1,070.60",9000,"96,33,900.00","96,33,900.00",114500,3500
26-Nov-2025,27-Jan-2026,XX,"-","1,073.00","1,080.00","1,068.60","1,075.30","1,075.00","1,075.30",14000,"1,50,39,750.00","1,50,39,750.00",111000,1000
26-Nov-2025,24-Feb-2026,XX,"-","1,079.80","1,079.80","1,079.80","1,079.80","1,079.80","1,079.80",500,"5,39,900.00","5,39,900.00",500,500
26-Nov-2025,30-Dec-2025,XX,"-","1,069.80","1,082.40","1,055.30","1,078.00","1,076.40","1,078.00",765900,"82,39,96,170.00","82,39,96,170.00",3180150,84600
25-Nov-2025,30-Dec-2025,XX,"-","1,038.10","1,065.90","1,038.10","1,057.10","1,056.20","1,057.10",1430550,"1,51,19,61,750.00","1,51,19,61,750.00",3095550,139500
25-Nov-2025,25-Nov-2025,XX,"-","1,057.40","1,062.70","1,045.90","1,051.00","1,049.30","1,050.40",1009350,"1,06,26,08,535.00","1,06,26,08,535.00",286200,-522450
25-Nov-2025,27-Jan-2026,XX,"-","1,042.10","1,061.50","1,042.10","1,050.60","1,053.30","1,050.60",54000,"5,68,81,850.00","5,68,81,850.00",110000,1500
24-Nov-2025,27-Jan-2026,XX,"-","1,059.00","1,060.00","1,030.00","1,036.80","1,039.00","1,036.80",45500,"4,77,62,950.00","4,77,62,950.00",108500,11000
24-Nov-2025,25-Nov-2025,XX,"-","1,054.20","1,078.00","1,043.40","1,048.60","1,044.00","1,048.60",2016450,"2,14,62,22,305.00","2,14,62,22,305.00",808650,-721800
24-Nov-2025,30-Dec-2025,XX,"-","1,055.30","1,065.00","1,037.00","1,040.00","1,040.10","1,040.00",2162250,"2,27,44,55,700.00","2,27,44,55,700.00",2956050,765000
21-Nov-2025,30-Dec-2025,XX,"-","1,072.40","1,072.60","1,051.60","1,055.70","1,053.30","1,055.70",1798650,"1,90,88,67,195.00","1,90,88,67,195.00",2191050,547200
21-Nov-2025,25-Nov-2025,XX,"-","1,077.30","1,079.90","1,057.20","1,061.00","1,059.50","1,061.00",1740150,"1,85,63,22,675.00","1,85,63,22,675.00",1530450,-1034550
21-Nov-2025,27-Jan-2026,XX,"-","1,063.90","1,065.00","1,052.70","1,056.40","1,052.70","1,056.40",14500,"1,53,60,950.00","1,53,60,950.00",97500,8000
20-Nov-2025,25-Nov-2025,XX,"-","1,089.70","1,101.70","1,080.60","1,081.80","1,080.70","1,081.80",1791900,"1,95,37,06,410.00","1,95,37,06,410.00",2565000,-805950
20-Nov-2025,30-Dec-2025,XX,"-","1,077.60","1,093.00","1,069.60","1,075.30","1,074.10","1,075.30",1706850,"1,84,62,93,975.00","1,84,62,93,975.00",1643850,471600
20-Nov-2025,27-Jan-2026,XX,"-","1,071.40","1,090.00","1,071.40","1,073.90","1,073.90","1,073.90",13000,"1,40,52,300.00","1,40,52,300.00",89500,6500
19-Nov-2025,30-Dec-2025,XX,"-","1,073.50","1,080.60","1,062.20","1,073.50","1,073.30","1,073.50",629550,"67,56,28,740.00","67,56,28,740.00",1172250,254700
19-Nov-2025,27-Jan-2026,XX,"-","1,077.00","1,077.00","1,071.80","1,072.80","1,072.00","1,072.80",9000,"96,58,200.00","96,58,200.00",83000,3000
19-Nov-2025,25-Nov-2025,XX,"-","1,086.40","1,091.60","1,071.20","1,085.80","1,087.10","1,085.80",887850,"96,17,31,405.00","96,17,31,405.00",3370950,-32400
18-Nov-2025,27-Jan-2026,XX,"-","1,070.90","1,080.20","1,066.90","1,073.60","1,073.60","1,073.60",3000,"32,12,800.00","32,12,800.00",80000,0
18-Nov-2025,25-Nov-2025,XX,"-","1,084.60","1,094.70","1,075.00","1,086.50","1,086.70","1,086.50",539100,"58,45,62,780.00","58,45,62,780.00",3403350,54000
18-Nov-2025,30-Dec-2025,XX,"-","1,079.20","1,083.70","1,063.90","1,075.40","1,075.40","1,075.40",218250,"23,44,51,890.00","23,44,51,890.00",917550,108450
17-Nov-2025,27-Jan-2026,XX,"-","1,081.50","1,085.00","1,081.50","1,084.20","1,084.20","1,100.80",3000,"32,49,500.00","32,49,500.00",80000,1000
17-Nov-2025,25-Nov-2025,XX,"-","1,085.80","1,100.50","1,080.90","1,089.20","1,090.70","1,089.20",593100,"64,75,03,560.00","64,75,03,560.00",3349350,-6750
17-Nov-2025,30-Dec-2025,XX,"-","1,078.70","1,089.90","1,075.30","1,079.20","1,080.80","1,079.20",193050,"20,90,99,790.00","20,90,99,790.00",809100,59400
14-Nov-2025,27-Jan-2026,XX,"-","1,081.00","1,083.70","1,070.00","1,073.90","1,075.00","1,073.90",9000,"97,04,900.00","97,04,900.00",79000,7500
14-Nov-2025,30-Dec-2025,XX,"-","1,076.30","1,085.10","1,070.10","1,076.00","1,076.70","1,076.00",468000,"50,42,02,815.00","50,42,02,815.00",749700,166500
14-Nov-2025,25-Nov-2025,XX,"-","1,080.90","1,094.90","1,076.80","1,083.50","1,088.00","1,083.50",982800,"1,06,67,81,835.00","1,06,67,81,835.00",3356100,99000
13-Nov-2025,27-Jan-2026,XX,"-","1,102.00","1,102.00","1,074.00","1,075.50","1,076.40","1,075.50",8000,"86,77,650.00","86,77,650.00",71500,6500
13-Nov-2025,30-Dec-2025,XX,"-","1,096.10","1,105.00","1,073.00","1,075.40","1,074.00","1,075.40",139050,"15,13,84,365.00","15,13,84,365.00",583200,55350
13-Nov-2025,25-Nov-2025,XX,"-","1,108.40","1,111.80","1,080.90","1,083.10","1,083.60","1,083.10",666450,"73,00,24,110.00","73,00,24,110.00",3257100,20700
12-Nov-2025,27-Jan-2026,XX,"-","1,096.00","1,111.20","1,094.70","1,095.00","1,095.50","1,095.00",19000,"2,09,23,850.00","2,09,23,850.00",65000,-5500
12-Nov-2025,30-Dec-2025,XX,"-","1,092.00","1,117.70","1,090.00","1,096.70","1,096.60","1,096.70",203850,"22,44,21,390.00","22,44,21,390.00",527850,35550
12-Nov-2025,25-Nov-2025,XX,"-","1,099.90","1,128.70","1,097.50","1,105.40","1,104.00","1,105.40",1393650,"1,54,74,90,195.00","1,54,74,90,195.00",3236400,92250
11-Nov-2025,27-Jan-2026,XX,"-","1,070.00","1,085.90","1,070.00","1,082.00","1,081.70","1,082.00",3000,"32,35,900.00","32,35,900.00",70500,0
