FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1459.6,1468.0,1459.6,1459.6,1459.6,1443.0,1459.2,4550.0,6668480.0,24050.0,4550.0,650.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,1511.8,6668480.0,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1441.6,1471.7,1435.05,1469.1,1470.95,1441.1,1469.1,2434250.0,3558781395.0,9009000.0,332150.0,650.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,1511.8,3558781395.0,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1450.6,1482.8,1450.6,1478.75,1480.5,1450.05,1478.75,257400.0,379030242.5,183950.0,55900.0,650.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,1511.8,379030242.5,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1483.0,1490.6,1468.15,1488.0,1490.6,1459.6,1488.0,6500.0,9626077.5,20800.0,-3250.0,650.0,19-Feb-2024,2024-02-18T18:30:00.000+00:00,1511.8,9626077.5,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1472.95,1473.95,1433.9,1449.25,1450.65,1469.1,1449.25,2515500.0,3653164222.5,9112350.0,103350.0,650.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,1511.8,3653164222.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1483.55,1483.55,1444.0,1460.2,1460.4,1478.75,1460.2,384150.0,560909277.5,271050.0,87100.0,650.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,1511.8,560909277.5,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1470.0,1470.0,1460.0,1469.3,1469.3,1488.0,1469.3,3900.0,5721852.5,21450.0,650.0,650.0,20-Feb-2024,2024-02-19T18:30:00.000+00:00,1511.8,5721852.5,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1451.5,1458.5,1430.05,1443.4,1441.5,1449.25,1443.4,1623050.0,2349984845.0,9110400.0,-1950.0,650.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,1511.8,2349984845.0,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1462.55,1468.85,1441.15,1452.95,1450.85,1460.2,1452.95,291850.0,425668815.0,339300.0,68250.0,650.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,1511.8,425668815.0,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1474.7,1474.7,1455.0,1455.0,1455.0,1469.3,1464.55,3250.0,4774510.0,21450.0,0.0,650.0,21-Feb-2024,2024-02-20T18:30:00.000+00:00,1511.8,4774510.0,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1455.9,1462.0,1434.0,1459.65,1455.95,1452.95,1459.65,661050.0,958516877.5,653900.0,314600.0,650.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,1511.8,958516877.5,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1467.0,1470.0,1449.9,1468.75,1470.0,1455.0,1468.75,7800.0,11386212.5,22750.0,1300.0,650.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,1511.8,11386212.5,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1441.75,1451.75,1423.7,1449.6,1446.35,1443.4,1449.6,1924000.0,2769128635.0,9053850.0,-56550.0,650.0,22-Feb-2024,2024-02-21T18:30:00.000+00:00,1511.8,2769128635.0,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1451.55,1479.55,1447.7,1462.45,1459.45,1449.6,1462.45,1927900.0,2829568007.5,8908900.0,-144950.0,650.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,1511.8,2829568007.5,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1486.0,1496.6,1483.2,1484.0,1483.2,1468.75,1484.0,7150.0,10655417.5,22750.0,0.0,650.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,1511.8,10655417.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1460.05,1489.15,1460.0,1472.6,1470.05,1459.65,1472.6,1108900.0,1638191392.5,1018550.0,364650.0,650.0,23-Feb-2024,2024-02-22T18:30:00.000+00:00,1511.8,1638191392.5,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1465.8,1476.45,1458.55,1465.95,1462.2,1462.45,1465.95,2484950.0,3649029767.5,7695350.0,-1213550.0,650.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,1511.8,3649029767.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1488.0,1488.0,1468.0,1475.5,1472.6,1472.6,1475.5,1856400.0,2743035912.5,2233400.0,1214850.0,650.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,1511.8,2743035912.5,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1485.8,1493.55,1480.0,1483.5,1483.5,1484.0,1483.5,7150.0,10618887.5,22750.0,0.0,650.0,26-Feb-2024,2024-02-25T18:30:00.000+00:00,1511.8,10618887.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1478.45,1496.2,1478.1,1492.0,1492.0,1475.5,1492.0,4895150.0,7272591430.0,5620550.0,3387150.0,650.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,1511.8,7272591430.0,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1492.75,1504.35,1490.0,1502.8,1502.75,1483.5,1502.8,10400.0,15571660.0,23400.0,650.0,650.0,27-Feb-2024,2024-02-26T18:30:00.000+00:00,1511.8,15571660.0,,
