FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,593.2,594.85,583.95,588.5,588.5,15496.0,127467.59,16942800.0,-16683800.0,23-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,596.4,598.25,588.25,592.75,592.75,14552.0,120492.46,25468800.0,16797200.0,23-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,600.0,600.2,591.65,595.3,595.3,33.0,274.99,114800.0,15400.0,23-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,583.95,596.7,583.95,585.7,585.7,11471.0,94946.98,5885600.0,-11057200.0,24-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,588.45,601.0,588.2,589.5,589.5,12361.0,103012.2,36117200.0,10648400.0,24-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,592.7,603.1,592.6,594.6,594.6,60.0,502.92,128800.0,14000.0,24-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,585.05,587.35,571.55,575.35,575.75,6132.0,49644.18,981400.0,-4904200.0,25-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,589.05,591.5,576.25,580.15,580.15,8607.0,70156.19,40997600.0,4880400.0,25-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,594.0,594.0,579.25,582.95,582.95,167.0,1365.11,247800.0,119000.0,25-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,583.9,593.55,578.55,590.35,590.35,4839.0,39766.11,41155800.0,158200.0,26-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,583.0,595.95,581.8,592.65,592.65,177.0,1457.34,278600.0,30800.0,26-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,586.7,598.3,586.7,595.5,592.65,3.0,24.92,4200.0,4200.0,26-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,602.2,609.05,598.45,601.95,601.95,4384.0,37104.14,41672400.0,57400.0,31-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,601.75,611.1,601.75,604.65,604.65,68.0,577.83,292600.0,5600.0,31-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,24-Jun-2021,0.0,XX,606.0,607.8,606.0,607.0,607.0,3.0,25.49,7000.0,1400.0,31-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,604.4,616.95,601.1,615.2,615.2,4796.0,41018.36,41295800.0,-376600.0,01-Apr-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,608.4,619.0,606.25,617.9,617.9,69.0,593.18,309400.0,16800.0,01-Apr-2021,,,N,,,,,,,
