FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,919.1,919.1,901.75,904.85,904.85,3504.0,20714.8,10279100.0,33800.0,17-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,920.0,921.4,905.9,908.3,908.3,1111.0,6596.4,746200.0,283400.0,17-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,922.0,924.5,910.0,912.7,912.7,29.0,173.0,31850.0,15600.0,17-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,905.05,906.25,891.85,894.35,894.35,2546.0,14835.91,9932000.0,-347100.0,18-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,909.0,910.1,895.7,897.75,897.75,1105.0,6463.25,1070550.0,324350.0,18-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,905.35,908.2,901.5,902.45,902.45,29.0,170.44,48100.0,16250.0,18-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,892.9,909.95,882.95,894.7,894.7,8715.0,50872.77,6633250.0,-3298750.0,22-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,895.05,912.7,885.8,898.0,898.0,6855.0,40175.89,4219800.0,3149250.0,22-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,902.45,915.05,894.05,902.2,902.2,28.0,164.78,54600.0,6500.0,22-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,897.45,916.9,891.05,909.45,909.45,5176.0,30418.02,5044650.0,-1588600.0,23-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,901.05,919.7,893.2,912.85,912.85,4322.0,25471.82,5569850.0,1350050.0,23-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,904.85,923.3,902.5,916.1,916.1,45.0,266.88,61750.0,7150.0,23-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,917.5,917.5,893.25,894.45,894.45,6762.0,39496.98,2604550.0,-2440100.0,24-Nov-2021,,,N,,,,,,,
