symbol,sector,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,days_held,reason,lot_size,month
SBIN,BANKING,SHORT,2024-02-14,2024-02-26,746.1,759.75,-1.83,-10237.0,12,Time Stop,750,2024-02
DIVISLAB,PHARMA,LONG,2024-02-29,2024-03-11,3493.5,3624.05,3.737,13055.0,11,Time Stop,100,2024-03
NESTLEIND,FMCG,LONG,2024-03-18,2024-03-28,2590.55,2616.2,0.99,12825.0,10,Time Stop,500,2024-03
DIVISLAB,PHARMA,SHORT,2024-05-28,2024-06-07,4391.25,4534.65,-3.266,-14340.0,10,Time Stop,100,2024-06
MARICO,FMCG,SHORT,2024-06-05,2024-06-18,644.7,624.7,3.102,24000.0,13,Time Stop,1200,2024-06
DIVISLAB,PHARMA,SHORT,2024-06-07,2024-06-18,4534.65,4566.6,-0.705,-3195.0,11,Time Stop,100,2024-06
DABUR,FMCG,SHORT,2024-06-07,2024-06-18,614.5,602.15,2.01,15438.0,11,Time Stop,1250,2024-06
ONGC,OIL,SHORT,2024-07-15,2024-07-25,323.3,335.15,-3.665,-26662.0,10,Time Stop,2250,2024-07
FEDERALBNK,BANKING,SHORT,2024-07-24,2024-08-05,200.58,192.89,3.834,38450.0,12,Time Stop,5000,2024-08
LUPIN,PHARMA,SHORT,2024-09-05,2024-09-16,2296.65,2259.65,1.611,15725.0,11,Time Stop,425,2024-09
DIVISLAB,PHARMA,SHORT,2024-09-10,2024-09-20,5400.1,5461.9,-1.144,-6180.0,10,Time Stop,100,2024-09
SUNPHARMA,PHARMA,SHORT,2024-09-12,2024-09-23,1864.95,1862.45,0.134,875.0,11,Time Stop,350,2024-09
SUNPHARMA,PHARMA,SHORT,2024-09-27,2024-10-07,1964.45,1917.7,2.38,16362.0,10,Time Stop,350,2024-10
TATAPOWER,POWER,SHORT,2024-09-27,2024-10-07,488.65,443.25,9.291,65830.0,10,RSI Target,1450,2024-10
DABUR,FMCG,LONG,2024-10-04,2024-10-14,575.6,569.5,-1.06,-7625.0,10,Time Stop,1250,2024-10
COFORGE,IT,SHORT,2024-10-09,2024-10-21,7375.1,6830.15,7.389,204356.0,12,RSI Target,375,2024-10
