Ticker,Date,Type,Description
CAMS,2024-11-08,Dividend,Interim Dividend - Rs 14.5 Per Share/Special Dividend - Rs 10.5 Per Share
CAMS,2025-02-07,Dividend,Interim Dividend - Rs 17.50 Per Share
CAMS,2025-07-15,Dividend,Dividend - Rs 19 Per Share
CAMS,2025-08-08,Dividend,Interim Dividend - Rs 11 Per Share
CAMS,2025-11-07,Dividend,Interim Dividend - Rs 14 Per Share
CAMS,2025-12-05,Split,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CAMS,2026-01-30,Dividend,Interim Dividend - Rs 3.50 Per Share
CANBK,2022-06-15,Dividend,Dividend - Rs 6.5 Per Share
CANBK,2023-06-14,Dividend,Dividend - Rs12 Per Share
CANBK,2024-05-15,Split,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
CANBK,2024-06-14,Dividend,Dividend - Rs 3.22 Per Share
CANBK,2025-06-13,Dividend,Dividend - Rs 4 Per Share
CDSL,2021-09-13,Dividend, Annual General Meeting/Dividend - Rs 9 Per Share
CDSL,2022-09-07,Dividend,Dividend - Rs 15 Per Share
CDSL,2023-08-25,Dividend,Dividend - Rs 16 Per Share
CDSL,2024-07-16,Dividend,Dividend - Rs 19/ Special Dividend - Rs 3 Per Share
CDSL,2024-08-23,Bonus,Bonus 1:1
CDSL,2025-08-07,Dividend,Dividend - Rs 12.50 Per Share
CGPOWER,2023-03-15,Dividend,Interim Dividend - Rs  1.50 Per Share
CGPOWER,2024-02-05,Dividend,Interim Dividend - Rs 1.30 Per Share
CGPOWER,2025-03-21,Dividend,Interim Dividend - Rs 1.30 Per Share
CGPOWER,2026-01-30,Dividend,Interim Dividend - Rs 1.30 Per Share
CHOLAFIN,2021-02-09,Dividend, Interimdividend - Rs 1.30  Per Share
CHOLAFIN,2021-07-22,Dividend, Annual General Meeting/Dividend - Rs 0.70 Per Share
CHOLAFIN,2022-02-10,Dividend,Interim Dividend - Rs 1.30 Per Share
CHOLAFIN,2022-07-21,Dividend,Dividend - Rs 0.70 Per Share
