symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
NESTLEIND,2024-08-29,2024-08-26,2024-08-29,SELL,96.927,95.487,1.441,3690.0,1280.7,200,3,2024-08
NESTLEIND,2024-09-26,2024-09-23,2024-09-26,SELL,112.56,114.73,-2.171,-5560.0,1280.7,200,3,2024-09
NHPC,2025-03-27,2025-03-24,2025-03-27,BUY,-1.017,0.012,1.029,5506.0,83.62,6400,3,2025-03
NTPC,2023-02-23,2023-02-20,2023-02-23,BUY,-48.492,-48.079,0.413,7695.0,326.65,5700,3,2023-02
NTPC,2023-03-29,2023-03-24,2023-03-29,BUY,-46.992,-46.701,0.291,5415.0,326.65,5700,5,2023-03
NTPC,2023-04-27,2023-04-24,2023-04-27,BUY,-47.574,-47.681,-0.107,-1995.0,326.65,5700,3,2023-04
NTPC,2023-05-25,2023-05-22,2023-05-25,BUY,-46.61,-46.518,0.092,1710.0,326.65,5700,3,2023-05
NTPC,2023-06-29,2023-06-26,2023-06-27,BUY,-43.319,-43.227,0.092,1710.0,326.65,5700,1,2023-06
NTPC,2023-07-27,2023-07-24,2023-07-27,BUY,-40.089,-38.328,1.76,17250.0,326.65,3000,3,2023-07
NTPC,2023-08-31,2023-08-28,2023-08-31,BUY,-32.971,-32.803,0.168,1650.0,326.65,3000,3,2023-08
NTPC,2023-09-28,2023-09-25,2023-09-28,BUY,-26.557,-27.369,-0.811,-7950.0,326.65,3000,3,2023-09
NTPC,2023-10-26,2023-10-23,2023-10-26,BUY,-27.874,-29.144,-1.27,-12450.0,326.65,3000,3,2023-10
NTPC,2023-11-30,2023-11-24,2023-11-30,BUY,-22.256,-20.251,2.005,19650.0,326.65,3000,6,2023-11
NTPC,2024-01-25,2024-01-20,2024-01-25,BUY,-5.587,-3.765,1.822,17850.0,326.65,3000,5,2024-01
NTPC,2024-02-29,2024-02-26,2024-02-29,SELL,3.276,2.633,0.643,6300.0,326.65,3000,3,2024-02
NTPC,2024-04-25,2024-04-22,2024-04-25,SELL,5.143,9.842,-4.699,-46050.0,326.65,3000,3,2024-04
NTPC,2024-05-30,2024-05-27,2024-05-30,SELL,13.439,10.179,3.26,15975.0,326.65,1500,3,2024-05
NTPC,2024-06-27,2024-06-24,2024-06-27,SELL,11.098,15.108,-4.01,-19650.0,326.65,1500,3,2024-06
NTPC,2024-07-25,2024-07-22,2024-07-25,SELL,14.404,20.144,-5.74,-28125.0,326.65,1500,3,2024-07
NTPC,2024-08-29,2024-08-26,2024-08-29,SELL,27.109,25.67,1.439,7050.0,326.65,1500,3,2024-08
NTPC,2024-09-26,2024-09-23,2024-09-26,SELL,30.981,32.711,-1.73,-8475.0,326.65,1500,3,2024-09
NTPC,2024-10-31,2024-10-28,2024-10-31,BUY,-0.508,25.027,25.534,154700.0,403.9,1500,3,2024-10
OBEROIRLTY,2023-02-23,2023-02-20,2023-02-23,BUY,-48.275,-49.381,-1.105,-12810.0,1655.4,700,3,2023-02
OBEROIRLTY,2023-03-29,2023-03-24,2023-03-29,BUY,-48.885,-50.018,-1.133,-13125.0,1655.4,700,5,2023-03
OBEROIRLTY,2023-04-27,2023-04-24,2023-04-27,BUY,-47.001,-44.699,2.302,26670.0,1655.4,700,3,2023-04
OBEROIRLTY,2023-05-25,2023-05-22,2023-05-25,BUY,-43.941,-43.195,0.746,8645.0,1655.4,700,3,2023-05
OBEROIRLTY,2023-06-29,2023-06-26,2023-06-27,BUY,-40.703,-40.64,0.063,735.0,1655.4,700,1,2023-06
OBEROIRLTY,2023-07-27,2023-07-24,2023-07-27,BUY,-35.59,-32.781,2.809,32550.0,1655.4,700,3,2023-07
OBEROIRLTY,2023-08-31,2023-08-28,2023-08-31,BUY,-34.339,-32.346,1.993,23100.0,1655.4,700,3,2023-08
OBEROIRLTY,2023-09-28,2023-09-25,2023-09-28,BUY,-31.24,-31.678,-0.438,-5075.0,1655.4,700,3,2023-09
OBEROIRLTY,2023-10-26,2023-10-23,2023-10-26,BUY,-34.439,-35.426,-0.988,-11445.0,1655.4,700,3,2023-10
OBEROIRLTY,2023-11-30,2023-11-24,2023-11-30,BUY,-15.948,-14.752,1.196,13860.0,1655.4,700,6,2023-11
OBEROIRLTY,2024-01-25,2024-01-20,2024-01-25,BUY,-9.116,-21.176,-12.061,-139755.0,1655.4,700,5,2024-01
OBEROIRLTY,2024-02-29,2024-02-26,2024-02-29,BUY,-16.772,-18.73,-1.957,-22680.0,1655.4,700,3,2024-02
OBEROIRLTY,2024-03-28,2024-03-22,2024-03-28,BUY,-12.366,-11.269,1.096,12705.0,1655.4,700,6,2024-03
OBEROIRLTY,2024-04-25,2024-04-22,2024-04-25,BUY,-14.057,-10.907,3.15,36505.0,1655.4,700,3,2024-04
OBEROIRLTY,2024-05-30,2024-05-27,2024-05-30,SELL,9.279,9.702,-0.423,-4900.0,1655.4,700,3,2024-05
OBEROIRLTY,2024-06-27,2024-06-24,2024-06-27,SELL,15.425,6.34,9.085,105280.0,1655.4,700,3,2024-06
OBEROIRLTY,2024-07-25,2024-07-22,2024-07-25,SELL,5.349,4.349,1.0,11585.0,1655.4,700,3,2024-07
OBEROIRLTY,2024-08-29,2024-08-26,2024-08-29,SELL,5.225,3.966,1.26,14595.0,1655.4,700,3,2024-08
OBEROIRLTY,2024-09-26,2024-09-23,2024-09-26,SELL,14.58,18.068,-3.489,-40425.0,1655.4,700,3,2024-09
OFSS,2023-02-23,2023-02-20,2023-02-23,BUY,-60.34,-61.392,-1.052,-17190.0,8169.5,200,3,2023-02
OFSS,2023-03-29,2023-03-24,2023-03-29,BUY,-60.847,-60.556,0.291,4750.0,8169.5,200,5,2023-03
OFSS,2023-04-27,2023-04-24,2023-04-27,BUY,-58.125,-57.169,0.956,15620.0,8169.5,200,3,2023-04
OFSS,2023-05-25,2023-05-22,2023-05-25,BUY,-56.172,-56.382,-0.209,-3420.0,8169.5,200,3,2023-05
OFSS,2023-06-29,2023-06-26,2023-06-27,BUY,-53.088,-53.367,-0.278,-4550.0,8169.5,200,1,2023-06
OFSS,2023-07-27,2023-07-24,2023-07-27,BUY,-52.714,-53.652,-0.938,-15320.0,8169.5,200,3,2023-07
OFSS,2023-08-31,2023-08-28,2023-08-31,BUY,-50.951,-49.788,1.163,19000.0,8169.5,200,3,2023-08
OFSS,2023-09-28,2023-09-25,2023-09-28,BUY,-49.192,-50.343,-1.151,-18800.0,8169.5,200,3,2023-09
OFSS,2023-10-26,2023-10-23,2023-10-26,BUY,-51.99,-52.309,-0.319,-5210.0,8169.5,200,3,2023-10
OFSS,2023-11-30,2023-11-24,2023-11-30,BUY,-50.667,-50.736,-0.069,-1130.0,8169.5,200,6,2023-11
