Ticker,Date,Type,Description
GAIL,2021-03-22,Dividend, Interim Dividend - Rs 2.5 Per Share
GAIL,2021-12-30,Dividend,Interim Dividend - Rs 4 Per Share
GAIL,2022-03-21,Dividend,Interim Dividend - Rs 5  Per Share
GAIL,2022-08-01,Dividend,Dividend - Rs 1 Per Share
GAIL,2022-09-06,Bonus,Bonus 1:2
GAIL,2023-03-21,Dividend,Interim Dividend - Rs 4 Per Share
GLENMARK,2021-09-08,Dividend, Annual General Meeting/Dividend - Rs 2.50 Per Share
GLENMARK,2022-09-12,Dividend,Annual General Meeting/Dividend - Rs 2.50 Per Share
GRASIM,2021-08-12,Dividend, Annual General Meeting/Dividend - Rs 5  Per Share/ Special Dividend - Rs 4 Per Share
GRASIM,2022-08-11,Dividend,Annual General Meeting/Dividend - Rs 5 Per Share/Special Dividend - Rs 5 Per Share
HAL,2021-03-05,Dividend, Interim Dividend - Rs 15 Per Share
HAL,2021-11-23,Dividend, Interim Dividend - Rs 14 Per Share
HAL,2022-02-17,Dividend,Interim Dividend - Rs 26 Per Share
HAL,2022-08-19,Dividend,Dividend - Rs 10 Per Share
HAL,2022-11-18,Dividend,Interim Dividend - Rs 20 Per Share
HAL,2023-03-20,Dividend,Interim Dividend - Rs 20 Per Share
HAVELLS,2021-01-28,Dividend, Interim Dividend - Rs 3 Per Share
HAVELLS,2021-06-17,Dividend, Annual General Meeting/Dividend - Rs 3.50 Per Share
HAVELLS,2021-10-27,Dividend, Interim Dividend - Rs 3 Per Share
HAVELLS,2022-06-14,Dividend,Annual General Meeting/Dividend - Rs 4.50 Per Share
HAVELLS,2023-01-25,Dividend,Interim Dividend - Rs 3 Per Share
HCLTECH,2021-01-21,Dividend, Interim Dividend - Rs 4 Per Share
HCLTECH,2021-04-29,Dividend, Interim Dividend - Rs 6 Per Share Special Interim Dividend - Rs 10 Per Share
HCLTECH,2021-07-27,Dividend, Interim Dividend - Rs 6 Per Share
HCLTECH,2021-10-21,Dividend, Interm Dividend - Rs 10 Per Share
HCLTECH,2022-01-20,Dividend,Interim Dividend - Rs 10 Per Share
HCLTECH,2022-04-28,Dividend,Interim Dividend Rs 18 Per Share
HCLTECH,2022-07-19,Dividend,Interim Dividend- Rs 10 Per Share
HCLTECH,2022-10-19,Dividend,Interim Dividend - Rs 10 Per Share
HCLTECH,2023-01-19,Dividend,Interim Dividend - Rs 10 Per Share
HDFCAMC,2021-06-29,Dividend, Annual General Meeting/Dividend - Rs 34 Per Share
HDFCAMC,2022-06-09,Dividend,Annual General Meeting/Dividend - Rs 42 Per Share
HDFCBANK,2021-06-29,Dividend, Dividend - Rs 6.50 Per Share
HDFCBANK,2022-05-12,Dividend,Dividend - Rs 15.50 Per Share
HDFCLIFE,2021-06-30,Dividend, Dividend - Rs 2.02 Per Sh
HDFCLIFE,2022-05-31,Dividend,Dividend - Rs 1.70 Per Share
HEROMOTOCO,2021-02-15,Dividend, Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share
HEROMOTOCO,2021-07-22,Dividend, Annual General Meeting/Dividend - Rs 25 Per Share/ Special Dividend - Rs 10 Per Share
HEROMOTOCO,2022-02-21,Dividend,Interim Dividend - Rs 60 Per Share
HEROMOTOCO,2022-07-27,Dividend,Annual General Meeting/Dividend - Rs  35 Per Share
HEROMOTOCO,2023-02-17,Dividend,Interim Dividend - Rs  65 Per Share
HINDALCO,2021-08-12,Dividend, Annual General Meeting/Dividend - Rs 3 Per Share
HINDALCO,2022-08-11,Dividend,Annual General Meeting/Dividend - Rs 4 Per Share
HINDPETRO,2021-07-08,Dividend, Dividend - Rs 22.75  Per Share
HINDPETRO,2022-08-22,Dividend,Dividend - Rs 14 Per Share
HINDUNILVR,2021-06-14,Dividend, Annual General Meeting/Dividend - Rs 17  Per Sh
HINDUNILVR,2021-10-26,Dividend, Interim Dividend - Rs 15 Per Share
HINDUNILVR,2022-06-15,Dividend,Annual General Meeting/Dividend - Rs  19 Per Share
HINDUNILVR,2022-11-01,Dividend,Interim Dividend - Rs 17 Per Share
HINDZINC,2021-12-14,Dividend, Interim Dividend - Rs 18 Per Share
HINDZINC,2022-07-20,Dividend,Interim Dividend- Rs 21 Per Share
HINDZINC,2022-11-23,Dividend,Interim Dividend - Rs 15.50 Per Share
HINDZINC,2023-01-30,Dividend,Interim Dividend - Rs 13 Per Share
HINDZINC,2023-03-29,Dividend,Interim Dividend - Rs 26 Per Share
HUDCO,2021-03-25,Dividend, Interim Dividend - Rs 0.75 Per Share
HUDCO,2021-09-16,Dividend, Dividend - Rs 1.425 Per Sh
HUDCO,2022-03-29,Dividend,Interim Dividend - Rs 0.75 Per Share
HUDCO,2022-09-15,Dividend,Dividend - Rs 2.75 Per Share
HUDCO,2023-03-21,Dividend,Interim Dividend - Re 0.75 Per Share
ICICIBANK,2021-07-29,Dividend, Dividend - Rs 2 Per Share
ICICIBANK,2022-08-08,Dividend,Dividend - Rs 5 Per Share
ICICIGI,2021-03-18,Dividend, Interim Dividend - Rs 4 Per Share
ICICIGI,2021-08-02,Dividend, Annual General Meeting/Dividend - Rs 4 Per Share
ICICIGI,2021-10-29,Dividend, Interim Dividend - Rs 4 Per Sh
ICICIGI,2022-07-28,Dividend,Dividend - Rs 5 Per Share
ICICIGI,2022-10-27,Dividend,Interim Dividend - Rs 4.50 Per Share
ICICIPRULI,2021-06-16,Dividend, Dividend - Rs 2 Per Share
ICICIPRULI,2022-06-16,Dividend,Dividend - Rs 0.55 Per Share
IEX,2021-01-28,Dividend, Interim Dividend - Rs 2.50 Per Share
IEX,2021-08-18,Dividend, Dividend - Rs 1.50 Per Share
IEX,2021-12-03,Bonus, Bonus 2:1
IEX,2022-02-03,Dividend,Interim Dividend - Re 1 Per Share
IEX,2022-08-11,Dividend,Dividend - Re 1 Per Share
IIFL,2021-02-04,Dividend, Interim Dividend - Rs  3.00 Per Share
IIFL,2022-02-03,Dividend,Interim Dividend - Rs 3.50 Per Share
IIFL,2023-02-07,Dividend,Interim Dividend - Rs  4 Per Share
INDHOTEL,2021-06-14,Dividend, Annual General Meeting/Dividend - Rs 0.40 Per Share
INDHOTEL,2022-06-22,Dividend,Dividend - Rs 0.40 Per Share
INDIANB,2021-07-08,Dividend, Annual General Meeting/Dividend - Rs 2 Per Share
INDIANB,2022-06-14,Dividend,Annual General Meeting/Dividend - Rs 6.50 Per Share
INDUSINDBK,2021-08-17,Dividend, Dividend - Rs 5 Per Share
INDUSINDBK,2022-08-11,Dividend,Annual General Meeting/Dividend - Rs 8.50 Per Share
INDUSTOWER,2021-02-08,Dividend, Interim Dividend - Rs 17.82 Per Share
INDUSTOWER,2022-05-13,Dividend,Interim Dividend - Rs 11 Per Share
INFY,2021-05-31,Dividend, Annual General Meeting/Dividend - Rs 15 Per Share
INFY,2021-10-26,Dividend, Interim Dividend - Rs 15 Per Sh
INFY,2022-05-31,Dividend,Annual General Meeting/Dividend - Rs 16 Per Share
INFY,2022-10-27,Dividend,Interim Dividend - Rs 16.50 Per Share
IOC,2021-02-09,Dividend, Interim Dividend - Rs 7.50  Per Share
IOC,2021-03-23,Dividend, Interim Dividend - Rs 3 Per Share
IOC,2021-08-05,Dividend, Dividend - Rs 1.50 Per Share
IOC,2021-11-11,Dividend, Interim Dividend - Rs 5 Per Share
