strategy,symbol,entry_date,exit_date,pnl_pct,portfolio_pnl,days_held,exit_reason
BREAKOUT,AXISBANK,2025-04-16,2025-04-21,5.231,28543.0,5,target
BREAKOUT,INDUSINDBK,2025-04-21,2025-04-22,-4.7708,-26509.0,1,stoploss
BREAKOUT,LODHA,2025-04-21,2025-04-23,4.8189,26329.0,2,target
PAIR,NHPC/PFC,2025-04-22,2025-04-23,0.8166,4537.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-04-09,2025-04-24,2.8247,15738.0,15,time_stop
BREAKOUT,LODHA,2025-04-23,2025-04-24,-2.7702,-15587.0,1,stoploss
BREAKOUT,GAIL,2025-04-21,2025-04-25,-3.9912,-22240.0,4,stoploss
BREAKOUT,ASHOKLEY,2025-04-23,2025-04-25,-2.0429,-11225.0,2,stoploss
PAIR,NHPC/PFC,2025-04-24,2025-04-25,0.6698,3654.0,1,z_revert
PAIR,NHPC/PFC,2025-04-25,2025-04-28,-0.361,-1974.0,3,z_revert
PAIR,DLF/GODREJPROP,2025-04-25,2025-04-28,0.153,836.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-04-24,2025-04-29,0.6705,3663.0,5,z_revert
BREAKOUT,ULTRACEMCO,2025-04-25,2025-04-29,-2.7785,-15217.0,4,stoploss
PAIR,NHPC/PFC,2025-04-28,2025-04-29,0.5804,3148.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-04-28,2025-04-29,-0.0534,-290.0,1,z_revert
PAIR,NHPC/PFC,2025-04-29,2025-04-30,0.3588,1949.0,1,z_revert
PAIR,NHPC/PFC,2025-04-30,2025-05-02,-0.4546,-2473.0,2,z_revert
BREAKOUT,PRESTIGE,2025-04-29,2025-05-06,-3.5686,-19383.0,7,time_stop
BREAKOUT,TECHM,2025-04-29,2025-05-06,-0.06,-322.0,7,time_stop
BREAKOUT,GODREJPROP,2025-05-02,2025-05-06,-7.1647,-38422.0,4,stoploss
PAIR,NHPC/PFC,2025-05-06,2025-05-07,-0.1322,-691.0,1,z_revert
PAIR,NHPC/PFC,2025-05-07,2025-05-08,-0.1279,-668.0,1,z_revert
PAIR,NHPC/PFC,2025-05-08,2025-05-09,-0.7994,-4176.0,1,z_revert
PAIR,NHPC/PFC,2025-05-09,2025-05-12,-0.2971,-1547.0,3,z_revert
BREAKOUT,TCS,2025-05-12,2025-05-13,-3.044,-15839.0,1,stoploss
PAIR,POWERGRID/RECLTD,2025-04-29,2025-05-14,-3.4143,-17577.0,15,time_stop
PAIR,NHPC/PFC,2025-05-13,2025-05-14,2.2926,11661.0,1,z_revert
PAIR,NHPC/PFC,2025-05-14,2025-05-15,0.3827,1962.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-14,2025-05-16,1.4084,7231.0,2,z_revert
PAIR,NHPC/PFC,2025-05-15,2025-05-16,0.4142,2137.0,1,z_revert
PAIR,NHPC/PFC,2025-05-16,2025-05-19,-0.7772,-4016.0,3,z_revert
PAIR,M&M/ASHOKLEY,2025-05-06,2025-05-20,3.8808,19997.0,14,z_revert
PAIR,NHPC/PFC,2025-05-19,2025-05-20,0.2007,1048.0,1,z_revert
PAIR,DMART/PAGEIND,2025-05-06,2025-05-21,-0.8123,-4246.0,15,time_stop
PAIR,POWERGRID/RECLTD,2025-05-16,2025-05-21,-0.1572,-819.0,5,z_revert
PAIR,NHPC/PFC,2025-05-20,2025-05-21,-0.0362,-189.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-21,2025-05-22,1.2761,6646.0,1,z_revert
PAIR,NHPC/PFC,2025-05-21,2025-05-22,0.6275,3283.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-22,2025-05-23,-1.308,-6858.0,1,z_revert
PAIR,NHPC/PFC,2025-05-22,2025-05-23,-0.8225,-4292.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-23,2025-05-26,0.8881,4622.0,3,z_revert
PAIR,NHPC/PFC,2025-05-23,2025-05-26,-0.1901,-992.0,3,z_revert
BREAKOUT,DLF,2025-05-20,2025-05-27,2.5292,13194.0,7,time_stop
PAIR,POWERGRID/RECLTD,2025-05-26,2025-05-27,0.1665,876.0,1,z_revert
PAIR,NHPC/PFC,2025-05-26,2025-05-27,0.0191,101.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-27,2025-05-28,0.2329,1226.0,1,z_revert
PAIR,NHPC/PFC,2025-05-27,2025-05-28,-0.0982,-518.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-28,2025-05-29,0.4812,2535.0,1,z_revert
PAIR,NHPC/PFC,2025-05-28,2025-05-29,0.0017,9.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-05-29,2025-05-30,-0.3084,-1628.0,1,z_revert
PAIR,NHPC/PFC,2025-05-29,2025-05-30,1.1593,6112.0,1,z_revert
PAIR,CHOLAFIN/LICHSGFIN,2025-05-27,2025-06-02,2.7353,14479.0,6,z_revert
PAIR,POWERGRID/RECLTD,2025-05-30,2025-06-02,-0.2718,-1453.0,3,z_revert
PAIR,NHPC/PFC,2025-05-30,2025-06-02,-0.307,-1639.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-06-02,2025-06-03,0.1495,797.0,1,z_revert
PAIR,NHPC/PFC,2025-06-02,2025-06-03,-1.0161,-5422.0,1,z_revert
PAIR,JUBLFOOD/PAGEIND,2025-05-21,2025-06-04,2.2453,11938.0,14,z_revert
PAIR,COFORGE/PERSISTENT,2025-06-02,2025-06-04,39.7253,212877.0,2,z_revert
PAIR,POWERGRID/RECLTD,2025-06-03,2025-06-04,0.0416,254.0,1,z_revert
PAIR,NHPC/PFC,2025-06-03,2025-06-04,1.5201,9280.0,1,z_revert
PAIR,INFY/COFORGE,2025-06-04,2025-06-05,1.0672,6550.0,1,z_stop
PAIR,POWERGRID/RECLTD,2025-06-04,2025-06-05,-0.5956,-3669.0,1,z_revert
PAIR,NHPC/PFC,2025-06-04,2025-06-05,-0.0419,-257.0,1,z_revert
PAIR,CHOLAFIN/LICHSGFIN,2025-06-04,2025-06-05,-0.1424,-875.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-05,2025-06-06,1.2266,7535.0,1,z_revert
PAIR,NHPC/PFC,2025-06-05,2025-06-06,-0.4069,-2510.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-06,2025-06-09,0.4493,2768.0,3,z_revert
PAIR,NHPC/PFC,2025-06-06,2025-06-09,-0.701,-4325.0,3,z_revert
BREAKOUT,DRREDDY,2025-06-05,2025-06-10,4.7586,29291.0,5,target
PAIR,POWERGRID/RECLTD,2025-06-09,2025-06-10,-0.3228,-2020.0,1,z_revert
PAIR,NHPC/PFC,2025-06-09,2025-06-10,-0.6275,-3922.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-10,2025-06-11,0.2774,1730.0,1,z_revert
PAIR,NHPC/PFC,2025-06-10,2025-06-11,0.586,3659.0,1,z_revert
PAIR,DMART/PAGEIND,2025-06-10,2025-06-11,0.1604,1003.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-11,2025-06-12,-0.542,-3393.0,1,z_revert
BREAKOUT,BPCL,2025-06-11,2025-06-12,-4.4239,-27639.0,1,stoploss
PAIR,NHPC/PFC,2025-06-11,2025-06-12,0.0092,56.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-12,2025-06-13,0.1895,1166.0,1,z_revert
PAIR,NHPC/PFC,2025-06-12,2025-06-13,0.1398,860.0,1,z_revert
PAIR,DMART/PAGEIND,2025-06-12,2025-06-13,-0.0096,-59.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-13,2025-06-16,-0.5412,-3333.0,3,z_revert
PAIR,NHPC/PFC,2025-06-13,2025-06-16,0.1544,949.0,3,z_revert
PAIR,DMART/PAGEIND,2025-06-13,2025-06-16,0.8155,5015.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-06-16,2025-06-17,-0.3475,-2143.0,1,z_revert
PAIR,NHPC/PFC,2025-06-16,2025-06-17,-0.3056,-1882.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-17,2025-06-18,-0.6265,-3855.0,1,z_revert
PAIR,INFY/COFORGE,2025-06-05,2025-06-20,0.0004,2.0,15,time_stop
PAIR,POWERGRID/RECLTD,2025-06-18,2025-06-23,0.0125,76.0,5,z_revert
PAIR,CHOLAFIN/LICHSGFIN,2025-06-20,2025-06-23,-1.0555,-6481.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-06-23,2025-06-24,1.0795,6604.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-24,2025-06-25,-0.6231,-3826.0,1,z_revert
MEAN_REV,BAJFINANCE,2025-06-16,2025-06-26,1.3859,8491.0,10,time_stop
PAIR,POWERGRID/RECLTD,2025-06-25,2025-06-26,-0.049,-302.0,1,z_revert
BREAKOUT,TRENT,2025-06-23,2025-06-30,1.6491,10151.0,7,time_stop
PAIR,NHPC/PFC,2025-06-17,2025-07-02,-2.1483,-13301.0,15,time_stop
MEAN_REV,BAJFINANCE,2025-06-26,2025-07-07,-2.4132,-14828.0,11,time_stop
PAIR,NHPC/PFC,2025-07-02,2025-07-08,1.676,10211.0,6,z_revert
PAIR,NHPC/PFC,2025-07-08,2025-07-09,0.2213,1357.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-06-26,2025-07-11,-1.3314,-8166.0,15,time_stop
BREAKOUT,DABUR,2025-07-07,2025-07-11,3.8907,23751.0,4,target
PAIR,NHPC/PFC,2025-07-09,2025-07-14,-0.4392,-2718.0,5,z_revert
PAIR,DRREDDY/ZYDUSLIFE,2025-06-30,2025-07-15,0.4838,2989.0,15,time_stop
PAIR,NHPC/PFC,2025-07-14,2025-07-15,-0.3982,-2464.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-07-11,2025-07-16,0.2963,1831.0,5,z_revert
