,entry_date,exit_date,pair,strategy,direction,days,entry_z,exit_z,gross,charges,net,reason,win
115,2024-08-14,2024-08-16,SAIL_CAL,CALENDAR,SELL_NEAR,2,2.221,2.975,4320.0,518.0,3802.0,INTRADAY,True
116,2024-08-16,2024-08-19,SAIL_CAL,CALENDAR,SELL_NEAR,3,2.975,2.182,5340.0,641.0,4699.0,INTRADAY,True
117,2024-08-19,2024-08-20,SAIL_CAL,CALENDAR,SELL_NEAR,1,2.182,1.566,5100.0,612.0,4488.0,INTRADAY,True
118,2024-08-19,2024-08-20,ITC_CAL,CALENDAR,SELL_NEAR,1,2.11,0.197,800.0,96.0,704.0,PROFIT,True
119,2024-08-19,2024-08-20,BAJAJFINSV/HDFCAMC,PAIRS,BUY_A,1,-1.875,-1.348,16866.0,2024.0,14842.0,PROFIT,True
120,2024-08-19,2024-08-20,NTPC/TATAPOWER,PAIRS,SELL_A,1,1.732,1.642,6382.0,766.0,5616.0,INTRADAY,True
121,2024-08-19,2024-08-22,ADANIENT/ADANIGREEN,PAIRS,BUY_A,3,-2.74,-1.972,27224.0,3267.0,23957.0,INTRADAY,True
122,2024-08-19,2024-08-26,SHRIRAMFIN/LICHSGFIN,PAIRS,SELL_A,7,2.423,2.04,-29768.0,3572.0,-33341.0,TIME_STOP,False
123,2024-08-21,2024-08-22,TATASTEEL/JINDALSTEL,PAIRS,BUY_A,1,-1.718,-1.536,14024.0,1683.0,12341.0,INTRADAY,True
124,2024-08-21,2024-08-26,SBICARD/HDFCAMC,PAIRS,BUY_A,5,-2.071,-1.602,15200.0,1824.0,13376.0,INTRADAY,True
125,2024-08-22,2024-08-27,ADANIENT/ADANIGREEN,PAIRS,BUY_A,5,-1.972,-1.969,-15092.0,1811.0,-16903.0,TIME_STOP,False
126,2024-08-26,2024-08-27,LICHSGFIN/HDFCAMC,PAIRS,BUY_A,1,-1.707,-1.6,21506.0,2581.0,18925.0,INTRADAY,True
127,2024-08-26,2024-08-27,BAJAJFINSV/SBICARD,PAIRS,SELL_A,1,2.86,2.84,22759.0,2731.0,20028.0,INTRADAY,True
128,2024-08-26,2024-08-27,NTPC/TATAPOWER,PAIRS,SELL_A,1,1.732,1.24,23720.0,2846.0,20873.0,PROFIT,True
129,2024-08-27,2024-08-28,RECLTD/HUDCO,PAIRS,SELL_A,1,2.318,1.778,65678.0,7881.0,57796.0,INTRADAY,True
130,2024-08-27,2024-08-28,BAJFINANCE/SHRIRAMFIN,PAIRS,BUY_A,1,-1.737,-1.552,19765.0,2372.0,17393.0,INTRADAY,True
131,2024-08-27,2024-08-30,ICICIBANK/SBIN,PAIRS,SELL_A,3,1.916,1.819,4869.0,584.0,4285.0,INTRADAY,True
132,2024-08-27,2024-09-02,BAJAJFINSV/SBICARD,PAIRS,SELL_A,6,2.84,3.743,-85455.0,10255.0,-95710.0,TIME_STOP,False
133,2024-08-27,2024-09-02,SIEMENS/VOLTAS,PAIRS,BUY_A,6,-2.158,-2.226,-72590.0,8711.0,-81301.0,TIME_STOP,False
134,2024-08-28,2024-09-02,RECLTD/HUDCO,PAIRS,SELL_A,5,1.778,2.24,-69131.0,8296.0,-77427.0,TIME_STOP,False
135,2024-08-29,2024-08-30,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,1,4.976,1.151,16335.0,1960.0,14375.0,INTRADAY,True
136,2024-08-30,2024-09-02,COLPAL_CAL,CALENDAR,SELL_NEAR,3,3.287,2.256,13440.0,1613.0,11827.0,INTRADAY,True
137,2024-09-02,2024-09-03,COLPAL_CAL,CALENDAR,SELL_NEAR,1,2.256,0.99,12145.0,1457.0,10688.0,INTRADAY,True
138,2024-09-02,2024-09-09,BAJAJFINSV/LTF,PAIRS,SELL_A,7,2.97,2.455,-42546.0,5106.0,-47652.0,TIME_STOP,False
139,2024-09-06,2024-09-09,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,3,2.05,2.434,12825.0,1539.0,11286.0,INTRADAY,True
140,2024-09-06,2024-09-09,ITC_CAL,CALENDAR,BUY_NEAR,3,-2.128,-1.294,9480.0,1138.0,8342.0,INTRADAY,True
141,2024-09-09,2024-09-10,HINDUNILVR_CAL,CALENDAR,SELL_NEAR,1,2.434,1.783,5580.0,670.0,4910.0,INTRADAY,True
142,2024-09-09,2024-09-13,BAJAJFINSV/MANAPPURAM,PAIRS,SELL_A,4,2.711,2.188,30380.0,3646.0,26735.0,INTRADAY,True
143,2024-09-09,2024-09-16,ICICIBANK/SBIN,PAIRS,SELL_A,7,2.382,2.566,-26325.0,3159.0,-29483.0,TIME_STOP,False
144,2024-09-10,2024-09-11,COLPAL_CAL,CALENDAR,SELL_NEAR,1,2.65,0.655,9782.0,1174.0,8609.0,INTRADAY,True
145,2024-09-11,2024-09-16,TATASTEEL/JINDALSTEL,PAIRS,BUY_A,5,-1.971,-2.152,-17282.0,2074.0,-19356.0,TIME_STOP,False
146,2024-09-11,2024-09-16,SIEMENS/HAVELLS,PAIRS,BUY_A,5,-2.164,-1.852,2009.0,241.0,1768.0,TIME_STOP,True
147,2024-09-13,2024-09-16,BAJAJFINSV/HDFCAMC,PAIRS,SELL_A,3,2.457,1.792,42440.0,5093.0,37347.0,INTRADAY,True
148,2024-09-16,2024-09-17,ITC_CAL,CALENDAR,SELL_NEAR,1,2.049,-1.317,1520.0,182.0,1338.0,PROFIT,True
149,2024-09-16,2024-09-23,KOTAKBANK/SBIN,PAIRS,SELL_A,7,2.252,2.512,-38333.0,4600.0,-42933.0,TIME_STOP,False
150,2024-09-17,2024-09-23,ADANIENT/ADANIGREEN,PAIRS,BUY_A,6,-2.358,-2.243,-546.0,66.0,-612.0,INTRADAY,False
151,2024-09-17,2024-09-18,NHPC/IRFC,PAIRS,SELL_A,1,2.157,2.113,16763.0,2012.0,14752.0,INTRADAY,True
152,2024-09-18,2024-09-19,DABUR/BRITANNIA,PAIRS,BUY_A,1,-2.268,-1.797,15827.0,1899.0,13928.0,INTRADAY,True
153,2024-09-18,2024-09-19,ITC_CAL,CALENDAR,BUY_NEAR,1,-2.13,-1.11,6440.0,773.0,5667.0,INTRADAY,True
154,2024-09-19,2024-09-24,LTF/LICHSGFIN,PAIRS,SELL_A,5,2.151,1.88,-3654.0,438.0,-4092.0,TIME_STOP,False
155,2024-09-19,2024-09-20,ABB/HAVELLS,PAIRS,BUY_A,1,-2.141,-2.028,24060.0,2887.0,21173.0,INTRADAY,True
156,2024-09-20,2024-09-25,DABUR/BRITANNIA,PAIRS,BUY_A,5,-2.228,-3.532,-64017.0,7682.0,-71699.0,TIME_STOP,False
157,2024-09-20,2024-09-25,BAJAJFINSV/MANAPPURAM,PAIRS,SELL_A,5,2.164,2.095,-25856.0,3103.0,-28959.0,TIME_STOP,False
158,2024-09-23,2024-09-30,ICICIBANK/SBIN,PAIRS,SELL_A,7,2.4,1.325,34353.0,4122.0,30231.0,PROFIT,True
159,2024-09-23,2024-09-26,ADANIENT/ADANIGREEN,PAIRS,BUY_A,3,-2.243,-1.784,25769.0,3092.0,22677.0,INTRADAY,True
160,2024-09-24,2024-09-30,KOTAKBANK/PNB,PAIRS,SELL_A,6,2.526,1.741,35104.0,4213.0,30892.0,INTRADAY,True
161,2024-09-25,2024-09-26,DABUR/MARICO,PAIRS,BUY_A,1,-2.352,-2.191,10958.0,1315.0,9643.0,INTRADAY,True
162,2024-09-25,2024-09-30,LTF/MANAPPURAM,PAIRS,SELL_A,5,2.349,2.222,2352.0,282.0,2070.0,TIME_STOP,True
163,2024-09-26,2024-10-01,BAJAJFINSV/SBICARD,PAIRS,SELL_A,5,2.495,2.171,-8328.0,999.0,-9328.0,TIME_STOP,False
164,2024-09-26,2024-09-27,DABUR/MARICO,PAIRS,BUY_A,1,-2.191,-1.776,14717.0,1766.0,12951.0,INTRADAY,True
165,2024-09-26,2024-09-27,ITC_CAL,CALENDAR,SELL_NEAR,1,2.906,3.726,5880.0,706.0,5174.0,INTRADAY,True
166,2024-09-26,2024-09-27,COLPAL_CAL,CALENDAR,SELL_NEAR,1,2.451,-0.843,5810.0,697.0,5113.0,PROFIT,True
167,2024-09-27,2024-09-30,ITC_CAL,CALENDAR,SELL_NEAR,3,3.726,0.784,9880.0,1186.0,8694.0,INTRADAY,True
168,2024-09-30,2024-10-07,DABUR/MARICO,PAIRS,BUY_A,7,-2.203,-2.913,-73437.0,8812.0,-82249.0,TIME_STOP,False
169,2024-10-01,2024-10-03,BAJAJFINSV/MUTHOOTFIN,PAIRS,SELL_A,2,2.706,1.731,58971.0,7076.0,51894.0,INTRADAY,True
