date,capital
2023-11-30,1165758.4723831902
2023-11-30,1167126.7539837158
2023-11-30,1168381.05730729
2023-11-30,1169119.8773984218
2023-11-30,1170651.6257543955
2023-11-30,1174312.5431455313
2023-11-30,1177804.00440312
2023-11-30,1180478.9866397826
2023-11-30,1181211.6012032328
2023-11-30,1180939.5164063482
2023-11-30,1180175.4287846289
2023-11-30,1174265.805785506
2023-11-30,1172003.725263613
2023-11-30,1166641.4184406172
2023-11-30,1167795.0688031318
2023-11-30,1167600.6047120402
2023-11-30,1171644.270331505
2023-11-30,1172912.883030394
2023-11-30,1172596.2468783741
2023-11-30,1169079.7817841407
2023-11-30,1168723.0150077092
2023-11-30,1168685.2915757338
2023-11-30,1171319.8453194173
2023-11-30,1172531.395866344
2023-11-30,1171631.68474534
2023-11-30,1165761.405843161
2023-11-30,1166803.8680107577
2023-11-30,1166534.2460033477
2023-11-30,1165800.8724598389
2023-11-30,1166823.7001563865
2023-11-30,1165683.5648608075
2023-11-30,1165785.3242657264
2023-11-30,1165889.6581409199
2023-11-30,1168218.564438058
2023-11-30,1171871.0160635589
2023-11-30,1172291.3898203583
2023-11-30,1173657.019658199
2023-11-30,1177137.9222139404
2023-11-30,1178844.2450973054
2023-11-30,1180924.8948279128
2023-11-30,1181253.2231988173
2023-11-30,1182072.1059794547
2023-11-30,1183625.1597018798
2023-11-30,1183899.5370123137
2023-11-30,1184510.949681718
2023-11-30,1184450.9933443975
2023-11-30,1184445.7800137443
2023-11-30,1183602.9619344496
2023-11-30,1186667.9421292567
2023-11-30,1186966.528688307
2023-11-30,1188563.4544523149
2023-11-30,1189523.4221408877
2023-11-30,1188861.111553347
2023-11-30,1190150.1102527322
2023-11-30,1190606.7254417299
2023-11-30,1192505.506082013
2023-11-30,1194184.2416479723
2023-11-30,1189420.3983967304
2023-11-30,1188400.4062750074
2023-11-30,1188269.6384276827
2023-11-30,1188747.3243943946
2023-11-30,1180648.6876077333
2023-11-30,1182608.6699850084
2023-11-30,1184981.383549789
2023-11-30,1186443.5083474547
2023-12-11,1186963.804945826
2023-12-14,1174609.0723081855
2023-12-14,1171076.0007498418
2023-12-14,1162730.6927775398
2023-12-14,1162641.082041921
2023-12-26,1160388.3660495058
2023-12-26,1162619.0830862934
2023-12-26,1167841.2468930131
2023-12-26,1166383.4258749345
2023-12-26,1164847.661116038
2023-12-28,1165129.6487059633
2024-01-05,1162968.2301605113
2024-01-08,1167569.6084659118
2024-01-08,1169762.1682399453
2024-01-08,1174348.5253794335
2024-01-08,1174952.7492873964
2024-01-23,1172921.0532450108
2024-01-25,1170745.0249666425
2024-01-25,1170515.7162804008
2024-01-25,1168366.4757459103
2024-01-25,1168547.321562252
2024-01-25,1168361.3044226079
2024-01-25,1167788.7713864965
2024-01-25,1164194.2034303825
2024-01-25,1163709.9692791686
2024-01-25,1161042.240337437
2024-01-25,1164038.5781797788
2024-01-25,1163545.869616007
2024-01-25,1164038.3696285044
2024-01-25,1163495.2802170378
2024-01-25,1163662.569307949
2024-01-25,1165234.971406028
2024-01-25,1164718.6770555587
2024-01-25,1162591.1881172087
2024-01-25,1168844.3029912617
2024-01-25,1171033.3465480031
2024-01-25,1170169.1467372363
2024-01-25,1175728.2201206374
2024-01-25,1173800.5558680622
2024-01-25,1173655.8951833325
2024-01-25,1173981.341610596
2024-01-25,1176646.7807574042
2024-01-25,1178370.5181377241
2024-01-25,1175140.1509522744
2024-01-25,1177510.8110111898
2024-01-25,1178135.3364372635
2024-01-25,1176491.5226501364
2024-01-25,1174596.2658576234
2024-01-25,1177824.9029569395
2024-01-25,1179470.8756894057
2024-01-25,1181402.0805044959
2024-01-25,1183506.3111322334
2024-01-25,1183483.7380507118
2024-01-25,1183634.8011765268
2024-01-25,1183988.1950847276
2024-01-25,1191982.3195571022
2024-01-25,1190546.5329753198
2024-01-25,1190839.9819361367
2024-01-25,1192424.6474767204
2024-01-25,1189908.026976026
2024-01-25,1190037.2149339807
2024-01-25,1175481.9130638745
2024-01-25,1174056.5164310667
2024-01-25,1170169.6352861
2024-01-25,1169606.5170553958
2024-01-25,1165849.340111789
2024-01-25,1166631.031902107
2024-01-25,1167800.9324994844
2024-01-25,1170271.5811988353
2024-01-25,1171691.5182377438
2024-01-25,1171230.811037583
2024-01-25,1174070.4352876234
2024-01-25,1179751.3951764386
2024-01-25,1180266.3325211192
2024-01-25,1175123.3696647943
2024-01-25,1173733.7516855346
2024-01-25,1174592.1951042349
2024-01-25,1174310.4335156162
2024-01-25,1176383.081108634
2024-01-25,1174088.4439031673
2024-01-25,1171595.0189269984
2024-01-25,1190780.6902316501
2024-01-25,1188975.1000521248
2024-01-25,1187232.4300022891
2024-01-25,1191459.9186202828
2024-01-25,1191495.7538520463
2024-01-25,1187609.6994044806
