Ticker,Date,Dividends,Stock Splits
CGPOWER,2026-01-29,1.3,0.0
ITC,2023-05-29,9.5,0.0
ITC,2024-02-07,6.25,0.0
ITC,2024-06-03,7.5,0.0
ITC,2025-02-11,6.5,0.0
ITC,2025-05-27,7.85,0.0
ITC,2026-02-03,6.5,0.0
IIFL,2024-01-24,3.885442,0.0
IIFL,2026-01-28,4.0,0.0
PERSISTENT,2023-07-10,11.0,0.0
PERSISTENT,2024-01-29,16.0,0.0
PERSISTENT,2024-03-27,0.0,2.0
PERSISTENT,2024-07-08,10.0,0.0
PERSISTENT,2025-01-30,20.0,0.0
PERSISTENT,2025-07-13,15.0,0.0
PERSISTENT,2026-01-26,22.0,0.0
EXIDEIND,2023-07-31,2.0,0.0
EXIDEIND,2024-07-21,2.0,0.0
EXIDEIND,2025-07-17,2.0,0.0
ICICIBANK,2023-08-08,8.0,0.0
ICICIBANK,2024-08-11,10.0,0.0
ICICIBANK,2025-08-11,11.0,0.0
PETRONET,2023-08-17,3.0,0.0
PETRONET,2023-11-09,7.0,0.0
PETRONET,2024-07-11,3.0,0.0
PETRONET,2024-11-07,7.0,0.0
PETRONET,2025-07-03,3.0,0.0
PETRONET,2025-11-13,7.0,0.0
MOTHERSON,2023-08-10,0.433333,0.0
MOTHERSON,2024-08-13,0.533333,0.0
MOTHERSON,2025-03-27,0.333333,0.0
MOTHERSON,2025-06-22,0.233333,0.0
MOTHERSON,2025-07-17,0.0,1.5
MOTHERSON,2026-03-26,0.35,0.0
SBIN,2023-05-30,11.3,0.0
SBIN,2024-05-21,13.7,0.0
SBIN,2025-05-15,15.9,0.0
TATAELXSI,2023-06-21,60.6,0.0
TATAELXSI,2024-06-24,70.0,0.0
TATAELXSI,2025-06-10,75.0,0.0
TIINDIA,2023-07-25,1.5,0.0
TIINDIA,2024-02-12,2.0,0.0
TIINDIA,2024-07-22,1.5,0.0
TIINDIA,2025-02-06,2.0,0.0
TIINDIA,2025-07-24,1.5,0.0
TIINDIA,2026-02-09,2.0,0.0
IDFCFIRSTB,2025-07-10,0.25,0.0
FORTIS,2023-07-19,1.0,0.0
FORTIS,2024-07-23,1.0,0.0
FORTIS,2025-07-24,1.0,0.0
CDSL,2023-08-24,8.0,0.0
CDSL,2024-07-15,11.0,0.0
CDSL,2024-08-22,0.0,2.0
CDSL,2025-08-06,12.5,0.0
SHREECEM,2023-05-31,55.0,0.0
SHREECEM,2024-02-07,50.0,0.0
SHREECEM,2024-07-22,55.0,0.0
SHREECEM,2025-02-04,50.0,0.0
SHREECEM,2025-07-20,60.0,0.0
SHREECEM,2025-11-02,80.0,0.0
