pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,entry_spread,exit_spread,gross,charges,net,reason,win,shares_a,shares_b
SHRIRAMFIN/LICHSGFIN,PAIRS,2024-07-16,2024-07-18,2,BUY_A,-1.712,-0.688,,,32983.0,3958.0,29025.0,PROFIT,True,407,1359
NHPC/IRFC,PAIRS,2024-07-18,2024-07-22,4,BUY_A,-1.986,-1.805,,,12753.0,1530.0,11223.0,INTRADAY,True,8848,5875
TECHM/MPHASIS,PAIRS,2024-07-22,2024-07-24,2,BUY_A,-2.067,-0.493,,,54121.0,6495.0,47627.0,PROFIT,True,832,381
NTPC/TATAPOWER,PAIRS,2024-07-25,2024-07-26,1,SELL_A,2.67,1.339,,,34293.0,4115.0,30178.0,PROFIT,True,2109,2038
TECHM/MPHASIS,PAIRS,2024-07-26,2024-07-29,3,BUY_A,-2.097,-1.418,,,24359.0,2923.0,21436.0,PROFIT,True,850,389
OBEROIRLTY_CAL,CALENDAR,2024-07-30,2024-07-31,1,SELL_NEAR,2.35,1.735,-6.45,-31.75,17710.0,2125.0,15585.0,INTRADAY,True,700,700
NTPC/TATAPOWER,PAIRS,2024-07-30,2024-07-31,1,SELL_A,2.056,1.929,,,10484.0,1258.0,9226.0,INTRADAY,True,2140,2068
SAIL_CAL,CALENDAR,2024-07-31,2024-08-01,1,SELL_NEAR,2.131,1.501,-0.17,-4.39,16900.0,2028.0,14872.0,INTRADAY,True,4000,4000
NTPC/TATAPOWER,PAIRS,2024-07-31,2024-08-01,1,SELL_A,1.929,1.622,,,16808.0,2017.0,14791.0,INTRADAY,True,2155,2083
ITC_CAL,CALENDAR,2024-08-01,2024-08-02,1,SELL_NEAR,2.177,0.854,-2.5,-9.75,11600.0,1392.0,10208.0,INTRADAY,True,1600,1600
DABUR/COLPAL,PAIRS,2024-07-29,2024-08-05,7,BUY_A,-2.281,-2.657,,,-84390.0,10127.0,-94517.0,TIME_STOP,False,1783,499
OBEROIRLTY_CAL,CALENDAR,2024-08-05,2024-08-06,1,SELL_NEAR,2.304,1.282,-6.25,-37.23,21683.0,2602.0,19081.0,INTRADAY,True,700,700
SHRIRAMFIN/LICHSGFIN,PAIRS,2024-08-01,2024-08-06,5,SELL_A,2.62,3.546,,,-80544.0,9665.0,-90209.0,TIME_STOP,False,434,1448
TATASTEEL/JINDALSTEL,PAIRS,2024-08-05,2024-08-06,1,BUY_A,-1.98,-1.938,,,12014.0,1442.0,10572.0,INTRADAY,True,7781,884
KOTAKBANK/IDFCFIRSTB,PAIRS,2024-08-05,2024-08-06,1,SELL_A,2.204,2.106,,,11988.0,1439.0,10549.0,INTRADAY,True,565,13122
RELIANCE/IOC,PAIRS,2024-08-05,2024-08-06,1,BUY_A,-1.79,-1.068,,,31859.0,3823.0,28036.0,PROFIT,True,353,6897
TATASTEEL/JINDALSTEL,PAIRS,2024-08-06,2024-08-07,1,BUY_A,-1.938,-1.759,,,14398.0,1728.0,12670.0,INTRADAY,True,7733,878
DABUR/MARICO,PAIRS,2024-08-06,2024-08-07,1,SELL_A,2.063,1.309,,,19298.0,2316.0,16982.0,PROFIT,True,1757,1687
BAJFINANCE/SHRIRAMFIN,PAIRS,2024-08-07,2024-08-08,1,BUY_A,-1.719,-1.53,,,22783.0,2734.0,20049.0,INTRADAY,True,177,425
ITC_CAL,CALENDAR,2024-08-08,2024-08-09,1,SELL_NEAR,2.146,0.265,-2.45,-2.9,720.0,86.0,634.0,PROFIT,True,1600,1600
OBEROIRLTY_CAL,CALENDAR,2024-08-08,2024-08-09,1,SELL_NEAR,2.72,1.671,-4.45,-26.23,15242.0,1829.0,13413.0,INTRADAY,True,700,700
KOTAKBANK/IDFCFIRSTB,PAIRS,2024-08-06,2024-08-09,3,SELL_A,2.106,1.562,,,19798.0,2376.0,17422.0,INTRADAY,True,562,13040
TATASTEEL/JINDALSTEL,PAIRS,2024-08-07,2024-08-09,2,BUY_A,-1.759,-1.369,,,10390.0,1247.0,9143.0,PROFIT,True,7798,886
NTPC/TATAPOWER,PAIRS,2024-08-05,2024-08-12,7,SELL_A,2.706,2.127,,,-15806.0,1897.0,-17703.0,TIME_STOP,False,2122,2051
LTF/LICHSGFIN,PAIRS,2024-08-06,2024-08-12,6,SELL_A,2.174,1.983,,,4714.0,566.0,4148.0,INTRADAY,True,6273,1406
BAJAJFINSV/MUTHOOTFIN,PAIRS,2024-08-07,2024-08-12,5,BUY_A,-2.062,-2.626,,,-39903.0,4788.0,-44692.0,TIME_STOP,False,708,779
SAIL/NMDC,PAIRS,2024-08-09,2024-08-12,3,BUY_A,-2.103,-2.09,,,13734.0,1648.0,12086.0,INTRADAY,True,5768,6489
OBEROIRLTY_CAL,CALENDAR,2024-08-12,2024-08-13,1,SELL_NEAR,2.234,-0.342,-4.7,-10.95,4375.0,525.0,3850.0,PROFIT,True,700,700
BAJFINANCE/SHRIRAMFIN,PAIRS,2024-08-09,2024-08-13,4,BUY_A,-1.769,-1.616,,,22356.0,2683.0,19673.0,INTRADAY,True,180,432
SAIL_CAL,CALENDAR,2024-08-13,2024-08-14,1,SELL_NEAR,2.299,2.221,0.07,-2.07,8560.0,1027.0,7533.0,INTRADAY,True,4000,4000
SAIL/NMDC,PAIRS,2024-08-12,2024-08-14,2,BUY_A,-2.09,-1.82,,,15838.0,1901.0,13937.0,INTRADAY,True,5694,6406
LTF/MANAPPURAM,PAIRS,2024-08-13,2024-08-14,1,BUY_A,-2.189,-1.915,,,22548.0,2706.0,19842.0,INTRADAY,True,6394,4299
SAIL_CAL,CALENDAR,2024-08-14,2024-08-16,2,SELL_NEAR,2.221,2.975,0.12,-0.96,4320.0,518.0,3802.0,INTRADAY,True,4000,4000
SAIL_CAL,CALENDAR,2024-08-16,2024-08-19,3,SELL_NEAR,2.975,2.182,0.58,-0.75,5340.0,641.0,4699.0,INTRADAY,True,4000,4000
LICHSGFIN/HDFCAMC,PAIRS,2024-08-12,2024-08-19,7,BUY_A,-2.127,-1.473,,,30600.0,3672.0,26928.0,PROFIT,True,1423,213
TATASTEEL/JINDALSTEL,PAIRS,2024-08-13,2024-08-19,6,BUY_A,-1.682,-1.435,,,432.0,52.0,380.0,PROFIT,True,7882,895
SAIL_CAL,CALENDAR,2024-08-19,2024-08-20,1,SELL_NEAR,2.182,1.566,0.34,-0.93,5100.0,612.0,4488.0,INTRADAY,True,4000,4000
ITC_CAL,CALENDAR,2024-08-19,2024-08-20,1,SELL_NEAR,2.11,0.197,-2.4,-2.9,800.0,96.0,704.0,PROFIT,True,1600,1600
BAJAJFINSV/HDFCAMC,PAIRS,2024-08-19,2024-08-20,1,BUY_A,-1.875,-1.348,,,16866.0,2024.0,14842.0,PROFIT,True,731,219
NTPC/TATAPOWER,PAIRS,2024-08-19,2024-08-20,1,SELL_A,1.732,1.642,,,6382.0,766.0,5616.0,INTRADAY,True,2195,2122
ADANIENT/ADANIGREEN,PAIRS,2024-08-19,2024-08-22,3,BUY_A,-2.74,-1.972,,,27224.0,3267.0,23957.0,INTRADAY,True,452,878
TATASTEEL/JINDALSTEL,PAIRS,2024-08-21,2024-08-22,1,BUY_A,-1.718,-1.536,,,14024.0,1683.0,12341.0,INTRADAY,True,8108,921
SHRIRAMFIN/LICHSGFIN,PAIRS,2024-08-19,2024-08-26,7,SELL_A,2.423,2.04,,,-29768.0,3572.0,-33341.0,TIME_STOP,False,439,1463
SBICARD/HDFCAMC,PAIRS,2024-08-21,2024-08-26,5,BUY_A,-2.071,-1.602,,,15200.0,1824.0,13376.0,INTRADAY,True,1179,221
ADANIENT/ADANIGREEN,PAIRS,2024-08-22,2024-08-27,5,BUY_A,-1.972,-1.969,,,-15092.0,1811.0,-16903.0,TIME_STOP,False,460,893
BAJAJFINSV/SBICARD,PAIRS,2024-08-26,2024-08-27,1,SELL_A,2.86,2.84,,,22759.0,2731.0,20028.0,INTRADAY,True,740,1184
NTPC/TATAPOWER,PAIRS,2024-08-26,2024-08-27,1,SELL_A,1.732,1.24,,,23720.0,2846.0,20873.0,PROFIT,True,2221,2147
LICHSGFIN/HDFCAMC,PAIRS,2024-08-26,2024-08-27,1,BUY_A,-1.707,-1.6,,,21506.0,2581.0,18925.0,INTRADAY,True,1480,222
RECLTD/HUDCO,PAIRS,2024-08-27,2024-08-28,1,SELL_A,2.318,1.778,,,65678.0,7881.0,57796.0,INTRADAY,True,2995,4156
BAJFINANCE/SHRIRAMFIN,PAIRS,2024-08-27,2024-08-28,1,BUY_A,-1.737,-1.552,,,19765.0,2372.0,17393.0,INTRADAY,True,187,449
HINDUNILVR_CAL,CALENDAR,2024-08-29,2024-08-30,1,SELL_NEAR,4.976,1.151,-4.45,-31.68,16335.0,1960.0,14375.0,INTRADAY,True,600,600
ICICIBANK/SBIN,PAIRS,2024-08-27,2024-08-30,3,SELL_A,1.916,1.819,,,4869.0,584.0,4285.0,INTRADAY,True,1048,1123
COLPAL_CAL,CALENDAR,2024-08-30,2024-09-02,3,SELL_NEAR,3.287,2.256,-5.3,-24.5,13440.0,1613.0,11827.0,INTRADAY,True,700,700
BAJAJFINSV/SBICARD,PAIRS,2024-08-27,2024-09-02,6,SELL_A,2.84,3.743,,,-85455.0,10255.0,-95710.0,TIME_STOP,False,748,1198
SIEMENS/VOLTAS,PAIRS,2024-08-27,2024-09-02,6,BUY_A,-2.158,-2.226,,,-72590.0,8711.0,-81301.0,TIME_STOP,False,224,898
RECLTD/HUDCO,PAIRS,2024-08-28,2024-09-02,5,SELL_A,1.778,2.24,,,-69131.0,8296.0,-77427.0,TIME_STOP,False,3055,4240
COLPAL_CAL,CALENDAR,2024-09-02,2024-09-03,1,SELL_NEAR,2.256,0.99,-8.0,-42.7,12145.0,1457.0,10688.0,INTRADAY,True,350,350
HINDUNILVR_CAL,CALENDAR,2024-09-06,2024-09-09,3,SELL_NEAR,2.05,2.434,-9.4,-52.15,12825.0,1539.0,11286.0,INTRADAY,True,300,300
ITC_CAL,CALENDAR,2024-09-06,2024-09-09,3,BUY_NEAR,-2.128,-1.294,-3.5,2.42,9480.0,1138.0,8342.0,INTRADAY,True,1600,1600
BAJAJFINSV/LTF,PAIRS,2024-09-02,2024-09-09,7,SELL_A,2.97,2.455,,,-42546.0,5106.0,-47652.0,TIME_STOP,False,719,6418
HINDUNILVR_CAL,CALENDAR,2024-09-09,2024-09-10,1,SELL_NEAR,2.434,1.783,-7.2,-25.8,5580.0,670.0,4910.0,INTRADAY,True,300,300
COLPAL_CAL,CALENDAR,2024-09-10,2024-09-11,1,SELL_NEAR,2.65,0.655,-1.65,-29.6,9782.0,1174.0,8609.0,INTRADAY,True,350,350
BAJAJFINSV/MANAPPURAM,PAIRS,2024-09-09,2024-09-13,4,SELL_A,2.711,2.188,,,30380.0,3646.0,26735.0,INTRADAY,True,715,4294
ICICIBANK/SBIN,PAIRS,2024-09-09,2024-09-16,7,SELL_A,2.382,2.566,,,-26325.0,3159.0,-29483.0,TIME_STOP,False,1002,1073
TATASTEEL/JINDALSTEL,PAIRS,2024-09-11,2024-09-16,5,BUY_A,-1.971,-2.152,,,-17282.0,2074.0,-19356.0,TIME_STOP,False,7902,898
SIEMENS/HAVELLS,PAIRS,2024-09-11,2024-09-16,5,BUY_A,-2.164,-1.852,,,2009.0,241.0,1768.0,TIME_STOP,True,215,718
BAJAJFINSV/HDFCAMC,PAIRS,2024-09-13,2024-09-16,3,SELL_A,2.457,1.792,,,42440.0,5093.0,37347.0,INTRADAY,True,723,217
ITC_CAL,CALENDAR,2024-09-16,2024-09-17,1,SELL_NEAR,2.049,-1.317,-2.4,-3.35,1520.0,182.0,1338.0,PROFIT,True,1600,1600
NHPC/IRFC,PAIRS,2024-09-17,2024-09-18,1,SELL_A,2.157,2.113,,,16763.0,2012.0,14752.0,INTRADAY,True,9242,6137
ITC_CAL,CALENDAR,2024-09-18,2024-09-19,1,BUY_NEAR,-2.13,-1.11,-3.6,0.43,6440.0,773.0,5667.0,INTRADAY,True,1600,1600
DABUR/BRITANNIA,PAIRS,2024-09-18,2024-09-19,1,BUY_A,-2.268,-1.797,,,15827.0,1899.0,13928.0,INTRADAY,True,1812,290
ABB/HAVELLS,PAIRS,2024-09-19,2024-09-20,1,BUY_A,-2.141,-2.028,,,24060.0,2887.0,21173.0,INTRADAY,True,182,728
KOTAKBANK/SBIN,PAIRS,2024-09-16,2024-09-23,7,SELL_A,2.252,2.512,,,-38333.0,4600.0,-42933.0,TIME_STOP,False,577,1082
ADANIENT/ADANIGREEN,PAIRS,2024-09-17,2024-09-23,6,BUY_A,-2.358,-2.243,,,-546.0,66.0,-612.0,INTRADAY,False,446,866
LTF/LICHSGFIN,PAIRS,2024-09-19,2024-09-24,5,SELL_A,2.151,1.88,,,-3654.0,438.0,-4092.0,TIME_STOP,False,6505,1457
DABUR/BRITANNIA,PAIRS,2024-09-20,2024-09-25,5,BUY_A,-2.228,-3.532,,,-64017.0,7682.0,-71699.0,TIME_STOP,False,1833,293
BAJAJFINSV/MANAPPURAM,PAIRS,2024-09-20,2024-09-25,5,SELL_A,2.164,2.095,,,-25856.0,3103.0,-28959.0,TIME_STOP,False,733,4399
ADANIENT/ADANIGREEN,PAIRS,2024-09-23,2024-09-26,3,BUY_A,-2.243,-1.784,,,25769.0,3092.0,22677.0,INTRADAY,True,447,869
DABUR/MARICO,PAIRS,2024-09-25,2024-09-26,1,BUY_A,-2.352,-2.191,,,10958.0,1315.0,9643.0,INTRADAY,True,1758,1688
COLPAL_CAL,CALENDAR,2024-09-26,2024-09-27,1,SELL_NEAR,2.451,-0.843,-0.95,-17.55,5810.0,697.0,5113.0,PROFIT,True,350,350
ITC_CAL,CALENDAR,2024-09-26,2024-09-27,1,SELL_NEAR,2.906,3.726,-2.0,-5.68,5880.0,706.0,5174.0,INTRADAY,True,1600,1600
DABUR/MARICO,PAIRS,2024-09-26,2024-09-27,1,BUY_A,-2.191,-1.776,,,14717.0,1766.0,12951.0,INTRADAY,True,1775,1704
ITC_CAL,CALENDAR,2024-09-27,2024-09-30,3,SELL_NEAR,3.726,0.784,-1.4,-7.57,9880.0,1186.0,8694.0,INTRADAY,True,1600,1600
