date,capital,phase,profit
2024-05-30,1382600.6082455702,2,382600.6082455702
2024-05-30,1366689.5151616829,2,366689.51516168285
2024-05-30,1408837.8195680762,2,408837.8195680762
2024-05-30,1400731.472712876,2,400731.47271287604
2024-05-30,1382495.3318753573,2,382495.3318753573
2024-05-30,1361964.7562955793,2,361964.75629557925
2024-05-30,1389286.0151981986,2,389286.0151981986
2024-05-30,1371637.9214648977,2,371637.9214648977
2024-05-30,1360805.4501765708,2,360805.4501765708
2024-05-30,1350057.1065059565,2,350057.1065059565
2024-05-30,1341352.7474580524,2,341352.74745805236
2024-05-30,1389333.1063302318,2,389333.10633023176
2024-05-30,1399141.758886581,2,399141.75888658105
2024-05-30,1386729.667893257,2,386729.667893257
2024-05-30,1378273.2038579774,2,378273.2038579774
2024-05-30,1395446.7319202079,2,395446.73192020785
2024-05-30,1424840.1214419007,2,424840.12144190073
2024-05-30,1402917.0672109325,2,402917.0672109325
2024-05-30,1398719.073368521,2,398719.07336852094
2024-05-30,1420835.2554381764,2,420835.25543817645
2024-05-30,1430481.6616985772,2,430481.6616985772
2024-05-30,1418649.90245197,2,418649.9024519699
2024-05-30,1411424.340705125,2,411424.3407051249
2024-05-30,1451004.856226092,2,451004.856226092
2024-05-30,1449689.0835604966,2,449689.08356049657
2024-05-30,1468595.1772264012,2,468595.17722640117
2024-05-31,1504810.7342968043,2,504810.7342968043
2024-06-04,1513845.6179455223,2,513845.6179455223
2024-06-05,1562742.8314051626,2,562742.8314051626
2024-06-06,1584052.3926542033,2,584052.3926542033
2024-06-18,1545686.6437041184,2,545686.6437041184
2024-06-21,1560803.4590795448,2,560803.4590795448
2024-06-24,1541193.5244196693,2,541193.5244196693
2024-06-27,1571515.8656893438,2,571515.8656893438
2024-06-27,1577785.1249520157,2,577785.1249520157
2024-06-27,1626763.8583474483,2,626763.8583474483
2024-06-27,1661220.9687122062,2,661220.9687122062
2024-06-27,1673695.499519035,2,673695.499519035
2024-06-27,1663807.3065078766,2,663807.3065078766
2024-06-27,1651993.1330373804,2,651993.1330373804
2024-06-27,1654647.7868791714,2,654647.7868791714
2024-06-27,1694416.6582635643,2,694416.6582635643
2024-06-27,1699543.855644477,2,699543.8556444771
2024-06-27,1646852.3654985195,2,646852.3654985195
2024-06-27,1570869.2072107245,2,570869.2072107245
2024-06-27,1589780.6423266595,2,589780.6423266595
2024-06-27,1585053.506965405,2,585053.5069654051
2024-06-27,1585122.2653867027,2,585122.2653867027
2024-06-27,1584306.9781214916,2,584306.9781214916
2024-06-27,1586763.668938786,2,586763.668938786
2024-06-27,1576624.6710277207,2,576624.6710277207
2024-06-27,1598636.4006444055,2,598636.4006444055
2024-06-27,1572991.659363595,2,572991.6593635951
2024-06-27,1607621.2490432872,2,607621.2490432872
2024-06-27,1635796.8338752422,2,635796.8338752422
2024-06-27,1642877.148529329,2,642877.1485293291
2024-06-27,1649076.5864788338,2,649076.5864788338
2024-06-27,1643345.529895182,2,643345.529895182
2024-06-27,1654916.5337862666,2,654916.5337862666
2024-06-27,1654008.6108490638,2,654008.6108490638
2024-06-27,1657562.0326717182,2,657562.0326717182
2024-06-27,1654117.1514122689,2,654117.1514122689
2024-06-27,1684758.3591388103,2,684758.3591388103
2024-06-28,1700790.5196843753,2,700790.5196843753
2024-06-28,1728207.2628616875,2,728207.2628616875
2024-07-08,1713558.978101672,2,713558.9781016719
2024-07-10,1738631.7730692555,2,738631.7730692555
2024-07-23,1714221.3829753632,2,714221.3829753632
2024-07-25,1710093.9373153837,2,710093.9373153837
2024-07-25,1704368.7280406107,2,704368.7280406107
2024-07-25,1684787.6607964868,2,684787.6607964868
2024-07-25,1683801.0158156494,2,683801.0158156494
2024-07-25,1690984.3957711814,2,690984.3957711814
2024-07-25,1750204.6362501408,2,750204.6362501408
2024-07-25,1717864.9657692143,2,717864.9657692143
2024-07-25,1744128.8023418132,2,744128.8023418132
2024-07-25,1755418.407535307,2,755418.4075353071
2024-07-25,1755992.8010589804,2,755992.8010589804
2024-07-25,1763012.58134961,2,763012.5813496099
2024-07-25,1816769.4343817343,2,816769.4343817343
2024-07-25,1788161.6391595928,2,788161.6391595928
2024-07-25,1791922.9528337081,2,791922.9528337081
2024-07-25,1785062.1898908687,2,785062.1898908687
2024-07-25,1785062.1898908687,2,785062.1898908687
2024-07-25,1744076.5280994053,2,744076.5280994053
2024-07-25,1781774.3042948153,2,781774.3042948153
2024-07-25,1773105.7037662526,2,773105.7037662526
2024-07-25,1747889.619050225,2,747889.619050225
2024-07-25,1725682.0401006273,2,725682.0401006273
2024-07-25,1724701.7427172656,2,724701.7427172656
2024-07-25,1758859.873515287,2,758859.873515287
2024-07-25,1793856.2039782777,2,793856.2039782777
2024-07-25,1771354.614744744,2,771354.614744744
2024-07-25,1745068.760627709,2,745068.7606277091
2024-07-25,1748272.0095593864,2,748272.0095593864
2024-07-25,1732305.4899676582,2,732305.4899676582
2024-07-25,1726134.8255145208,2,726134.8255145208
2024-07-29,1729635.4269406642,2,729635.4269406642
2024-07-29,1699629.7115540975,2,699629.7115540975
2024-07-30,1712145.784749982,2,712145.784749982
2024-08-12,1657637.9115466815,2,657637.9115466815
2024-08-13,1643780.0586061513,2,643780.0586061513
2024-08-21,1685670.1496196704,2,685670.1496196704
2024-08-21,1645699.5390318888,2,645699.5390318888
2024-08-29,1660729.290574198,2,660729.2905741979
2024-08-29,1650308.3584178367,2,650308.3584178367
2024-08-29,1658530.0743333667,2,658530.0743333667
2024-08-29,1660766.060951844,2,660766.0609518441
2024-08-29,1639263.9512458176,2,639263.9512458176
2024-08-29,1655734.6096665845,2,655734.6096665845
2024-08-29,1605078.5710543469,2,605078.5710543469
2024-08-29,1623466.105997213,2,623466.1059972129
2024-08-29,1601777.8597656386,2,601777.8597656386
2024-08-29,1617595.3737018707,2,617595.3737018707
2024-08-29,1628448.3218741734,2,628448.3218741734
2024-08-29,1634904.859077041,2,634904.859077041
2024-08-29,1624652.9090412888,2,624652.9090412888
2024-08-29,1637294.300552561,2,637294.300552561
2024-08-29,1638972.9950900169,2,638972.9950900169
2024-08-29,1632510.4739507916,2,632510.4739507916
2024-08-29,1642093.7201838316,2,642093.7201838316
2024-08-29,1635059.9757467923,2,635059.9757467923
2024-08-29,1622207.2654896781,2,622207.2654896781
2024-08-29,1614687.3623900444,2,614687.3623900444
2024-08-29,1581000.805581907,2,581000.805581907
2024-08-29,1582681.0797273037,2,582681.0797273037
2024-08-29,1591297.6615446708,2,591297.6615446708
2024-08-29,1588810.747658646,2,588810.747658646
2024-08-29,1591975.7549942923,2,591975.7549942923
2024-08-29,1594947.8495105573,2,594947.8495105573
2024-08-29,1604127.4054789634,2,604127.4054789634
2024-08-29,1609281.228468454,2,609281.228468454
2024-09-04,1632783.1715290074,2,632783.1715290074
2024-09-10,1645910.7482281006,2,645910.7482281006
2024-09-20,1692582.1934048566,2,692582.1934048566
2024-09-23,1713759.7818087381,2,713759.7818087381
2024-09-24,1734105.5379383715,2,734105.5379383715
2024-09-25,1758625.79024482,2,758625.7902448201
2024-09-26,1772864.168120595,2,772864.1681205949
2024-09-26,1790637.4663299653,2,790637.4663299653
2024-09-26,1795500.1603847027,2,795500.1603847027
2024-09-26,1804722.184554772,2,804722.184554772
2024-09-26,1831033.8790445724,2,831033.8790445724
2024-09-26,1844154.3209428922,2,844154.3209428922
2024-09-26,1827272.5102437136,2,827272.5102437136
2024-09-26,1813123.5830957468,2,813123.5830957468
2024-09-26,1880157.3686715062,2,880157.3686715062
2024-09-26,1914102.0353075012,2,914102.0353075012
2024-09-26,1911673.7893597973,2,911673.7893597973
2024-09-26,1896084.2716280362,2,896084.2716280362
2024-09-26,1889307.5768828194,2,889307.5768828194
2024-09-26,1908033.4572908615,2,908033.4572908615
2024-09-26,1893628.5276890842,2,893628.5276890842
2024-09-26,1892655.0398586867,2,892655.0398586867
2024-09-26,1908202.16700849,2,908202.1670084901
2024-09-26,1922963.1877490303,2,922963.1877490303
2024-09-26,1928916.7210940877,2,928916.7210940877
2024-09-26,1970883.1232040427,2,970883.1232040427
2024-09-26,2051974.2560083983,2,1051974.2560083983
2024-09-26,2074003.64176107,2,1074003.64176107
2024-09-26,2127524.320464033,2,1127524.3204640332
2024-09-26,2112804.574668078,2,1112804.5746680782
2024-09-26,2041870.3576799424,2,1041870.3576799424
2024-09-26,2028319.7443179148,2,1028319.7443179148
2024-09-26,2031097.8781539062,2,1031097.8781539062
2024-09-26,2020786.6461971228,2,1020786.6461971228
2024-09-26,1997147.8478490356,2,997147.8478490356
2024-09-27,2023957.560558561,2,1023957.560558561
2024-09-30,2070217.1345626875,2,1070217.1345626875
2024-10-09,2042169.8328236323,2,1042169.8328236323
2024-10-10,2073382.3565485086,2,1073382.3565485086
2024-10-11,2103156.127188545,2,1103156.1271885452
2024-10-14,2082620.9107626763,2,1082620.9107626763
2024-10-17,2070041.8804616698,2,1070041.8804616698
2024-10-18,2089980.5238542766,2,1089980.5238542766
2024-10-21,2116456.397130463,2,1116456.3971304628
2024-10-23,2107855.118332525,2,1107855.1183325248
2024-10-24,2080250.647702842,2,1080250.647702842
2024-10-24,2114766.1664495277,2,1114766.1664495277
2024-10-25,2154227.703115476,2,1154227.7031154758
2024-10-28,2174796.2692248225,2,1174796.2692248225
2024-10-28,2164896.596607311,2,1164896.5966073112
2024-10-29,2274258.513081526,2,1274258.513081526
2024-10-30,2275010.2441599024,2,1275010.2441599024
2024-10-31,2670918.8318311335,2,1670918.8318311335
2024-10-31,3164941.45649699,2,2164941.45649699
2024-10-31,3357468.350084473,2,2357468.350084473
2024-10-31,4023591.473980434,2,3023591.473980434
2024-10-31,4434550.459986732,2,3434550.4599867323
2024-10-31,4386568.624009676,2,3386568.6240096763
2024-11-01,4468088.615318272,2,3468088.6153182723
2024-11-04,4404320.05460045,2,3404320.05460045
2024-11-04,4448416.10698711,2,3448416.1069871103
2024-11-04,4517313.175652127,2,3517313.175652127
2024-11-06,4598715.159077378,2,3598715.159077378
2024-11-06,4451611.4585688105,2,3451611.4585688105
2024-11-07,4424349.7899965355,2,3424349.7899965355
2024-11-12,4471938.096337738,2,3471938.0963377384
2024-11-14,4390530.935232006,2,3390530.935232006
2024-11-25,4362905.714587526,2,3362905.7145875264
2024-11-28,4385959.308383407,2,3385959.308383407
2024-11-28,4408748.752949767,2,3408748.752949767
2024-12-02,4374078.35275657,2,3374078.35275657
2024-12-02,4204679.046311013,2,3204679.0463110134
2024-12-02,4407428.669924131,2,3407428.6699241307
2024-12-04,4467545.9969818955,2,3467545.9969818955
2024-12-05,4464615.286807875,2,3464615.286807875
2024-12-13,4576123.518211189,2,3576123.5182111887
2024-12-16,4609602.437870421,2,3609602.4378704214
2024-12-16,4610155.5901629655,2,3610155.5901629655
2024-12-26,4641688.948826379,2,3641688.948826379
2024-12-26,4654049.222033163,2,3654049.2220331626
2024-12-26,4673493.6626934055,2,3673493.6626934055
2024-12-27,4677120.293775655,2,3677120.2937756553
2024-12-30,4624736.546485368,2,3624736.546485368
2024-12-30,4821269.35076481,2,3821269.35076481
2024-12-31,4732519.424555931,2,3732519.4245559312
2025-01-03,4782097.298047579,2,3782097.298047579
2025-01-03,4958078.47861573,2,3958078.47861573
2025-01-06,5032747.140503683,2,4032747.140503683
2025-01-06,4946344.9375955155,2,3946344.9375955155
2025-01-13,4830620.251435531,2,3830620.2514355313
2025-01-13,4768208.637786984,2,3768208.6377869844
2025-01-14,4824301.84420191,2,3824301.8442019103
2025-01-15,4906083.409064821,2,3906083.409064821
2025-01-17,5097950.519026528,2,4097950.519026528
2025-01-20,5071747.053358732,2,4071747.053358732
2025-01-21,5097998.416106917,2,4097998.416106917
2025-01-21,5140801.210808551,2,4140801.210808551
2025-01-23,5248716.909825844,2,4248716.909825844
2025-01-23,5253839.657529834,2,4253839.657529834
2025-01-23,5383231.220615478,2,4383231.220615478
2025-01-27,5519556.168046345,2,4519556.168046345
2025-01-27,5552828.052627329,2,4552828.052627329
2025-01-27,5365897.649063682,2,4365897.649063682
2025-01-30,5406908.777262852,2,4406908.777262852
2025-01-30,5420249.970761325,2,4420249.970761325
2025-01-30,5347835.4311519535,2,4347835.4311519535
2025-01-30,5363509.2422053,2,4363509.2422053
2025-01-30,5367916.836053647,2,4367916.836053647
2025-01-30,5380512.956866792,2,4380512.956866792
2025-01-30,5386244.55016435,2,4386244.55016435
2025-01-31,5247559.525486719,2,4247559.525486719
2025-01-31,5395981.499105585,2,4395981.499105585
2025-02-01,5500231.861668305,2,4500231.861668305
2025-02-01,5764286.992883276,2,4764286.992883276
2025-02-06,5834127.09408905,2,4834127.09408905
2025-02-07,5981567.154010869,2,4981567.154010869
2025-02-17,5914669.306960411,2,4914669.306960411
2025-02-18,6069657.301480002,2,5069657.301480002
2025-02-19,6261604.143982005,2,5261604.143982005
2025-02-19,6381826.94354646,2,5381826.94354646
2025-02-21,6635287.582436351,2,5635287.582436351
2025-02-25,6805469.438350678,2,5805469.438350678
2025-02-27,6821604.059766422,2,5821604.059766422
2025-02-27,6831396.467281774,2,5831396.467281774
2025-02-27,6838166.784498054,2,5838166.784498054
