strategy,symbol,entry_date,exit_date,pnl_pct,pnl_rupees,entry_premium,exit_premium,days_held,pnl_leg_a,pnl_leg_b,direction
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-11-08,2024-11-18,1.3221,13600.0,,,10,3.8996,-1.2555,SHORT_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-12-17,2025-01-06,-1.6011,-22222.0,,,20,2.2039,-5.4061,SHORT_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2025-02-28,2025-03-20,0.4907,473.0,,,20,7.392,-6.4106,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2025-04-30,2025-05-19,1.4294,17575.0,,,19,2.026,0.8328,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2025-09-18,2025-10-08,-0.7581,-6600.0,,,20,-4.9416,3.4254,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2025-10-23,2025-11-06,1.8992,29275.0,,,14,-1.8645,5.6628,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2025-12-18,2025-12-26,1.2152,13600.0,,,8,2.7006,-0.2703,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2026-01-14,2026-02-03,-1.2426,-14800.0,,,20,-2.9913,0.5061,SHORT_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-02-20,2025-02-28,2.5128,25245.0,,,8,-5.1972,10.2227,LONG_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-04-04,2025-04-24,0.0933,1237.0,,,20,7.2685,-7.0819,LONG_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-06-18,2025-07-08,2.0573,20666.0,,,20,-2.7941,6.9087,SHORT_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-09-03,2025-09-11,1.8576,19165.0,,,8,0.333,3.3822,SHORT_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-09-15,2025-10-06,0.7616,8639.0,,,21,1.8345,-0.3112,LONG_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-10-24,2025-11-13,-1.0073,-10386.0,,,20,1.7785,-3.7931,SHORT_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-11-24,2025-12-08,0.7336,8273.0,,,14,1.7013,-0.2341,SHORT_SPREAD
PAIR_TRADE,TATAPOWER/NHPC,2025-12-30,2026-01-19,-2.0667,-21847.0,,,20,-2.7555,-1.3779,LONG_SPREAD
PAIR_TRADE,M&M/BHARATFORG,2025-05-06,2025-05-09,5.2095,58540.0,,,3,2.8318,7.5872,SHORT_SPREAD
PAIR_TRADE,M&M/BHARATFORG,2025-07-10,2025-07-30,-2.6929,-33510.0,,,20,-1.3353,-4.0504,SHORT_SPREAD
PAIR_TRADE,M&M/BHARATFORG,2025-08-20,2025-09-09,-3.6579,-51540.0,,,20,-9.1776,1.8617,SHORT_SPREAD
PAIR_TRADE,M&M/BHARATFORG,2025-10-27,2025-11-07,0.809,12160.0,,,11,2.2624,-0.6443,LONG_SPREAD
PAIR_TRADE,M&M/BHARATFORG,2025-12-19,2026-01-01,1.3141,18990.0,,,13,4.8264,-2.1982,LONG_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-02-21,2025-02-25,3.2333,33760.0,,,4,5.6116,0.855,SHORT_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-04-08,2025-04-09,-2.4807,-27650.0,,,1,-3.2481,-1.7133,SHORT_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-04-11,2025-05-02,-0.867,-11204.0,,,21,-2.9887,1.2547,SHORT_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-07-17,2025-08-05,1.1222,13838.0,,,19,-5.2862,7.5306,LONG_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-09-02,2025-09-10,1.2904,14366.0,,,8,-0.4856,3.0664,SHORT_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-09-22,2025-10-03,2.2817,32222.0,,,11,-2.2185,6.782,LONG_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-11-13,2025-11-17,2.5834,31925.0,,,4,6.3994,-1.2326,LONG_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2025-11-26,2025-12-03,1.9486,27006.0,,,7,6.0782,-2.181,SHORT_SPREAD
PAIR_TRADE,HUDCO/ADANIGREEN,2026-01-23,2026-01-30,6.6576,63968.0,,,7,2.7665,10.5488,SHORT_SPREAD
PAIR_TRADE,LODHA/IRCTC,2025-05-02,2025-05-13,3.226,39901.0,,,11,4.4604,1.9916,SHORT_SPREAD
PAIR_TRADE,LODHA/IRCTC,2025-05-28,2025-06-17,0.1354,1640.0,,,20,1.0708,-0.7999,SHORT_SPREAD
PAIR_TRADE,LODHA/IRCTC,2025-07-03,2025-07-14,2.3267,29672.0,,,11,3.3631,1.2903,LONG_SPREAD
PAIR_TRADE,LODHA/IRCTC,2025-07-28,2025-08-18,2.1084,23736.0,,,21,3.3463,0.8704,LONG_SPREAD
PAIR_TRADE,LODHA/IRCTC,2025-11-03,2025-11-24,0.4993,1295.0,,,21,6.6554,-5.6567,SHORT_SPREAD
PAIR_TRADE,LODHA/IRCTC,2025-12-26,2026-01-05,4.5157,49665.0,,,10,4.625,4.4065,LONG_SPREAD
PAIR_TRADE,LODHA/IRCTC,2026-01-23,2026-01-30,3.8854,31178.0,,,7,8.0133,-0.2426,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2024-04-26,2024-05-07,4.1269,52959.0,,,11,-5.3231,13.5769,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2024-05-30,2024-06-05,4.0975,51044.0,,,6,6.7117,1.4833,SHORT_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2024-06-18,2024-07-08,-1.0769,-14485.0,,,20,-0.5289,-1.6249,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2024-10-17,2024-11-06,-3.7754,-46105.0,,,20,-1.9676,-5.5831,SHORT_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-01-02,2025-01-13,-2.575,-21673.0,,,11,6.7996,-11.9495,SHORT_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-01-27,2025-02-01,2.5369,24989.0,,,5,0.0376,5.0362,SHORT_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-02-03,2025-02-19,2.2772,23128.0,,,16,-0.5613,5.1157,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-04-03,2025-04-23,-4.67,-54800.0,,,20,-3.7764,-5.5636,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-07-02,2025-07-22,-3.6962,-46260.0,,,20,-3.7767,-3.6157,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-09-26,2025-10-01,2.209,27459.0,,,5,1.2877,3.1304,SHORT_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-11-07,2025-11-13,1.6488,22441.0,,,6,2.8084,0.4892,LONG_SPREAD
PAIR_TRADE,LT/GMRAIRPORT,2025-11-18,2025-12-08,2.3349,33780.0,,,20,0.1524,4.5174,LONG_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-02-12,2025-02-18,2.9371,28309.0,,,6,-4.4545,10.3287,LONG_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-02-28,2025-03-20,-2.8892,-20812.0,,,20,19.0115,-24.79,LONG_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-05-16,2025-06-05,-1.5062,-18776.0,,,20,1.5508,-4.5633,SHORT_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-07-04,2025-07-11,0.2787,3308.0,,,7,-0.1799,0.7373,LONG_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-07-16,2025-08-05,-0.9209,-8764.0,,,20,6.5461,-8.3879,SHORT_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-10-06,2025-10-27,-3.1473,-40039.0,,,21,-4.5898,-1.7049,LONG_SPREAD
PAIR_TRADE,ADANIGREEN/ADANIENSOL,2025-12-22,2026-01-12,-1.1244,-10140.0,,,21,-7.6344,5.3856,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-04-26,2024-05-16,0.5732,8925.0,,,20,1.1943,-0.0479,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-06-26,2024-07-10,1.9347,23563.0,,,14,-1.8996,5.7691,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-07-22,2024-08-12,-4.3727,-65500.0,,,21,1.1343,-9.8796,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-10-04,2024-10-24,-1.5679,-27400.0,,,20,-7.3692,4.2334,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-10-25,2024-10-29,5.8548,97137.0,,,4,4.4306,7.2789,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-11-11,2024-11-25,3.4737,58025.0,,,14,3.7334,3.214,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-11-28,2024-12-11,2.3822,36775.0,,,13,-1.1931,5.9575,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2024-12-20,2024-12-30,5.2582,88825.0,,,10,9.5033,1.013,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-01-14,2025-01-27,3.2268,59687.0,,,13,4.5185,1.935,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-04-04,2025-04-07,-2.1321,-34913.0,,,3,-5.8258,1.5615,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-04-08,2025-04-28,-1.7077,-27775.0,,,20,-0.3247,-3.0907,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-06-11,2025-06-18,2.062,36200.0,,,7,3.6474,0.4767,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-06-23,2025-06-27,2.7812,43375.0,,,4,-0.779,6.3415,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-07-04,2025-07-22,1.0299,15425.0,,,18,-1.8103,3.8701,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-07-31,2025-08-20,-2.8439,-56500.0,,,20,-7.9156,2.2278,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-09-26,2025-10-03,2.5624,43625.0,,,7,4.6045,0.5204,LONG_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-10-30,2025-11-10,2.3456,41950.0,,,11,-1.1468,5.838,SHORT_SPREAD
PAIR_TRADE,BIOCON/TORNTPHARM,2025-11-13,2025-11-25,1.8787,41375.0,,,12,6.0798,-2.3225,SHORT_SPREAD
