symbol,win,pnl_pct,pnl_inr,dte_to_exit
LT,True,0.8373,5055.0,3
LT,False,-0.8336,-5033.0,3
LT,True,0.1884,944.0,1
LUPIN,False,-0.1675,-1445.0,3
LUPIN,False,-3.8509,-33214.0,3
LUPIN,False,-0.1306,-1126.0,3
MANAPPURAM,False,-0.0115,-51.0,2
MANAPPURAM,True,0.6657,3690.0,3
MANAPPURAM,True,0.581,3215.0,1
MARICO,True,0.8515,7560.0,3
MARICO,False,-2.8788,-25560.0,3
MARICO,False,-0.838,-7440.0,3
MCX,True,0.3026,1677.0,3
MFSL,True,0.1965,1629.0,3
MOTHERSON,True,2.9599,23075.0,3
MOTHERSON,True,0.0455,355.0,3
MOTHERSON,False,-0.9107,-7100.0,3
MOTHERSON,False,0.0,0.0,0
MOTHERSON,True,2.3679,18460.0,4
MOTHERSON,False,-3.7341,-29110.0,3
MOTHERSON,False,-0.4554,-3550.0,6
MOTHERSON,False,0.0,0.0,0
MPHASIS,True,1.5107,11413.0,6
MPHASIS,False,-3.8259,-28902.0,3
MPHASIS,False,0.0,0.0,0
MPHASIS,False,-0.0164,-124.0,7
MPHASIS,False,-2.4899,-18810.0,5
MPHASIS,False,-2.2624,-17091.0,3
MPHASIS,False,-0.0673,-509.0,6
MPHASIS,False,0.0,0.0,0
MPHASIS,False,-3.0814,-23279.0,2
MPHASIS,True,1.3978,10560.0,3
MPHASIS,True,2.7666,20900.0,3
MPHASIS,False,-3.1524,-23815.0,3
MPHASIS,False,-0.4696,-3547.0,3
NAUKRI,True,0.2553,1917.0,4
NESTLEIND,True,0.0138,63.0,2
NESTLEIND,True,0.579,2778.0,1
NESTLEIND,True,0.2166,1063.0,1
NHPC,True,0.2318,1146.0,1
NHPC,True,0.9181,4913.0,1
NHPC,True,0.3964,1988.0,3
NIFTY,True,0.2419,2673.0,6
NTPC,True,1.8215,17850.0,5
NTPC,True,0.6429,6300.0,3
NTPC,False,-4.6992,-46050.0,3
NTPC,True,3.2604,15975.0,3
NTPC,False,-0.5817,-2850.0,2
NTPC,False,0.0,0.0,0
NTPC,False,-0.2024,-1226.0,2
NTPC,True,0.2545,1270.0,1
NYKAA,False,-0.017,-96.0,3
NYKAA,True,0.2712,1628.0,1
NYKAA,True,0.3729,2687.0,4
OBEROIRLTY,True,0.3556,3502.0,5
OBEROIRLTY,False,0.0,0.0,0
OBEROIRLTY,True,1.0964,12705.0,6
OBEROIRLTY,True,3.1503,36505.0,3
OBEROIRLTY,False,-0.4229,-4900.0,3
OBEROIRLTY,True,7.6356,88480.0,6
OBEROIRLTY,True,3.1805,36855.0,1
OBEROIRLTY,True,1.2595,14595.0,3
OBEROIRLTY,False,-0.0181,-210.0,1
OBEROIRLTY,True,0.4416,3009.0,1
OBEROIRLTY,True,0.3452,2024.0,2
OBEROIRLTY,True,0.4262,2169.0,4
OFSS,True,0.2654,2236.0,4
OFSS,False,-2.7358,-44700.0,3
OFSS,False,-4.4733,-73090.0,6
OFSS,False,-4.9299,-80550.0,3
OFSS,False,-2.5877,-21140.0,3
OFSS,True,0.4041,2416.0,1
OFSS,True,0.1692,775.0,1
OIL,True,0.3197,1398.0,2
OIL,True,0.3828,1559.0,1
OIL,True,0.1915,972.0,2
PAGEIND,False,-1.4467,-8438.0,3
PAGEIND,True,2.4455,14264.0,5
PAGEIND,False,-0.623,-3634.0,3
PAGEIND,True,1.7638,10288.0,3
PAGEIND,True,0.1211,706.0,1
PAGEIND,False,-0.5604,-3269.0,3
PAGEIND,False,-1.2362,-7211.0,3
PAGEIND,True,0.7913,4615.0,1
PAGEIND,False,-0.9226,-5381.0,3
PAGEIND,False,-0.7593,-4429.0,6
PAGEIND,False,-2.1956,-12806.0,5
PAGEIND,False,-4.7369,-27629.0,3
PAGEIND,False,-0.3579,-2087.0,6
PAGEIND,False,-0.0683,-398.0,3
PAGEIND,True,3.2487,18949.0,3
PAGEIND,True,0.1884,1099.0,3
PAGEIND,False,-2.8535,-16644.0,3
PAGEIND,True,0.4405,2569.0,3
PAGEIND,True,2.8164,16427.0,3
PAGEIND,True,0.4603,3136.0,1
PAGEIND,True,0.3168,1950.0,4
PATANJALI,True,0.2128,1147.0,1
PATANJALI,True,0.2612,1265.0,2
PATANJALI,True,0.2721,1442.0,3
PATANJALI,False,-0.3534,-1627.0,4
PERSISTENT,True,0.7766,9780.0,6
PERSISTENT,True,0.5927,3343.0,3
PERSISTENT,True,0.5594,3443.0,4
PFC,True,0.2979,4467.0,4
PGEL,True,0.4049,1655.0,1
PHOENIXLTD,True,0.307,1716.0,1
PIIND,True,0.5548,3386.0,4
PIIND,True,0.6333,3799.0,3
PNBHOUSING,True,0.2723,1530.0,3
PNB,False,-0.3269,-3200.0,5
PNB,True,1.0215,10000.0,1
PNB,False,-1.2667,-12400.0,6
PNB,False,-2.329,-22800.0,3
PNB,True,1.9613,19200.0,3
PNB,True,5.23,51200.0,3
PNB,False,-0.7927,-7760.0,3
PNB,False,-0.5475,-5360.0,3
PNB,False,-3.7509,-36720.0,3
POLICYBZR,True,0.2257,1231.0,1
POLICYBZR,True,0.0592,347.0,4
POWERGRID,True,2.7197,27180.0,2
POWERGRID,False,-3.2781,-32760.0,3
POWERGRID,True,4.4488,44460.0,3
POWERGRID,True,0.3921,2259.0,1
POWERGRID,True,0.5512,2880.0,2
PRESTIGE,True,0.1661,1203.0,3
PRESTIGE,True,0.3384,2115.0,4
RBLBANK,False,0.0,0.0,0
RBLBANK,False,-2.3364,-18250.0,1
RBLBANK,False,0.0,0.0,0
RBLBANK,False,-0.0806,-336.0,2
RBLBANK,True,1.0445,4048.0,3
RBLBANK,True,0.2663,998.0,3
RBLBANK,True,0.3553,1430.0,3
RBLBANK,True,0.3891,1990.0,1
RBLBANK,True,0.6274,5426.0,3
RECLTD,True,0.624,2773.0,2
RECLTD,True,0.3073,1250.0,2
RECLTD,True,1.3955,6630.0,3
SAIL,True,3.0952,33200.0,5
SAIL,False,-2.3493,-25200.0,3
SAIL,True,3.1697,34000.0,5
SAIL,False,-2.9087,-31200.0,1
SAIL,True,5.2953,28400.0,3
SAIL,True,0.9994,5360.0,3
SAIL,True,1.6632,8920.0,1
SAIL,True,2.6551,14240.0,1
SAIL,True,0.2607,1078.0,1
SAIL,True,0.2478,1072.0,3
SAIL,True,0.2371,1400.0,2
SAIL,True,0.8377,5279.0,3
SAMMAANCAP,True,0.9847,4392.0,2
SAMMAANCAP,True,0.3281,1319.0,6
SAMMAANCAP,False,-0.1131,-1057.0,5
SAMMAANCAP,True,0.7644,5223.0,4
SAMMAANCAP,True,0.6986,4173.0,4
SBICARD,False,-1.1844,-8320.0,1
SBICARD,True,1.3837,9720.0,3
SBICARD,False,-0.7289,-5120.0,3
SBICARD,True,1.9817,13920.0,1
SBICARD,True,1.9133,13440.0,1
SBICARD,False,-0.6776,-4760.0,3
SBICARD,False,-0.7574,-5320.0,3
SBICARD,True,0.0456,320.0,3
SBICARD,False,-0.8371,-5880.0,9
SBICARD,False,-1.6514,-11600.0,3
SBICARD,True,0.3541,1958.0,1
SBICARD,True,0.0732,481.0,3
SBICARD,True,0.5739,4012.0,3
SBICARD,True,0.0785,551.0,4
SBICARD,True,0.0854,591.0,4
SBILIFE,True,2.1656,16425.0,3
SBILIFE,False,-0.8504,-6450.0,3
SBIN,True,0.2672,2552.0,4
SBIN,False,-0.2159,-1575.0,1
SBIN,True,0.9973,7275.0,3
SBIN,False,-3.1359,-22875.0,3
SHREECEM,True,0.2593,1651.0,1
SHREECEM,True,0.3163,2259.0,2
SIEMENS,False,-1.7095,-14919.0,3
SIEMENS,False,-0.1071,-935.0,5
SIEMENS,False,-5.1946,-45334.0,3
SIEMENS,False,-2.8045,-24475.0,3
SIEMENS,False,0.0,0.0,0
SIEMENS,True,0.271,2365.0,3
SIEMENS,False,-0.0331,-289.0,5
SIEMENS,True,0.2692,1169.0,3
SIEMENS,True,0.3082,715.0,2
SONACOMS,True,0.563,2203.0,1
SONACOMS,True,1.3685,5324.0,2
SONACOMS,True,0.6333,2236.0,2
SONACOMS,True,0.3563,1318.0,2
SONACOMS,True,0.4301,2102.0,2
SRF,True,0.1163,1238.0,6
SRF,True,2.2372,23812.0,3
SRF,True,0.9583,10200.0,3
SRF,True,0.0088,94.0,3
SRF,True,0.4985,5306.0,3
SRF,True,0.3718,4171.0,3
SRF,True,0.4217,4573.0,2
SUNPHARMA,True,0.5591,6965.0,6
SUNPHARMA,False,-0.8091,-10080.0,3
SUNPHARMA,False,0.0,0.0,0
SUNPHARMA,False,-0.2276,-1418.0,9
SUNPHARMA,True,4.1243,25690.0,3
SUNPHARMA,True,0.8232,5128.0,1
SUNPHARMA,False,-1.6772,-10447.0,3
SUPREMEIND,True,0.6787,3803.0,1
SUPREMEIND,True,0.3483,1995.0,4
SYNGENE,True,3.0195,19000.0,3
SYNGENE,True,0.6436,4050.0,5
SYNGENE,True,0.9615,6050.0,1
SYNGENE,False,-1.5495,-9750.0,3
SYNGENE,True,1.9785,12450.0,3
SYNGENE,True,0.3397,2396.0,6
SYNGENE,False,-0.6357,-4000.0,5
SYNGENE,False,-0.4052,-2550.0,6
SYNGENE,True,1.0091,6350.0,3
SYNGENE,False,-0.3576,-2250.0,3
SYNGENE,False,-0.7946,-5000.0,3
SYNGENE,True,0.3727,3247.0,2
SYNGENE,True,0.1707,928.0,4
TATACONSUM,True,0.1954,893.0,3
TATACONSUM,True,0.9764,5104.0,3
TATAELXSI,True,0.3267,1733.0,4
