SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
BALAMINES, EQ, 12-Mar-2026,1047.9,1040.0,1049.4,1002.4,1036.0,1035.0,1023.91,90442,926.05,6830,45416,50.22,2026-03-12
BALAXI, EQ, 12-Mar-2026,20.18,20.18,20.88,19.56,20.88,20.03,19.95,48585,9.69,328,28170,57.98,2026-03-12
BALKRISHNA, EQ, 12-Mar-2026,12.94,13.17,15.52,12.84,14.41,14.77,14.55,383267,55.78,741,309816,80.84,2026-03-12
BALKRISIND, EQ, 12-Mar-2026,2175.6,2162.2,2308.8,2152.1,2267.0,2280.2,2223.75,204206,4541.03,24860,108210,52.99,2026-03-12
BALMLAWRIE, EQ, 12-Mar-2026,171.17,170.0,170.44,166.1,167.86,167.96,167.54,291884,489.03,4550,169399,58.04,2026-03-12
BALPHARMA, EQ, 12-Mar-2026,70.64,70.64,72.4,69.99,71.07,71.49,71.48,21655,15.48,220,17060,78.78,2026-03-12
BALRAMCHIN, EQ, 12-Mar-2026,519.05,517.9,519.65,502.1,503.0,509.3,510.34,814720,4157.85,28639,358775,44.04,2026-03-12
BALUFORGE, EQ, 12-Mar-2026,461.75,459.0,474.6,450.35,467.9,466.85,463.41,494905,2293.44,8626,196838,39.77,2026-03-12
BANARBEADS, EQ, 12-Mar-2026,114.67,115.18,115.19,111.03,114.97,114.42,113.55,525,0.6,45,420,80.0,2026-03-12
BANARISUG, EQ, 12-Mar-2026,3607.7,3600.1,3626.4,3492.1,3600.0,3600.1,3573.18,1077,38.48,121,646,59.98,2026-03-12
BANCOINDIA, EQ, 12-Mar-2026,576.0,574.0,581.8,561.35,574.15,575.25,570.69,211233,1205.49,19527,84122,39.82,2026-03-12
BANDHANBNK, EQ, 12-Mar-2026,182.47,180.0,181.47,177.2,177.75,178.01,178.89,5408689,9675.38,42507,1417758,26.21,2026-03-12
BANG, EQ, 12-Mar-2026,37.1,37.85,37.85,35.5,35.99,36.02,36.36,23844,8.67,151,12678,53.17,2026-03-12
BANK10ADD, EQ, 12-Mar-2026,17.05,16.52,16.69,16.49,16.5,16.5,16.57,11097,1.84,88,7076,63.76,2026-03-12
BANKA, EQ, 12-Mar-2026,51.77,52.49,52.67,50.71,51.0,51.38,51.56,3512,1.81,108,2203,62.73,2026-03-12
BANKADD, EQ, 12-Mar-2026,56.91,56.17,56.68,55.87,56.31,56.3,56.33,59362,33.44,228,46123,77.7,2026-03-12
BANKBARODA, EQ, 12-Mar-2026,289.3,287.0,293.35,282.95,289.0,289.2,288.78,8115474,23435.6,74885,3305465,40.73,2026-03-12
BANKBEES, EQ, 12-Mar-2026,576.13,575.0,575.0,565.37,570.38,569.24,569.37,1313838,7480.62,25446,792551,60.32,2026-03-12
BANKBETA, EQ, 12-Mar-2026,57.54,57.54,57.54,56.5,56.92,56.85,56.82,674367,383.19,2687,500625,74.24,2026-03-12
BANKBETF, EQ, 12-Mar-2026,56.52,55.79,56.34,55.37,55.93,55.91,55.87,30401,16.98,413,15822,52.04,2026-03-12
BANKETF, EQ, 12-Mar-2026,566.15,561.25,565.13,556.4,559.9,559.53,559.94,28642,160.38,1755,25276,88.25,2026-03-12
BANKIETF, EQ, 12-Mar-2026,57.09,56.55,56.91,56.0,56.47,56.4,56.42,1639686,925.09,8435,1121696,68.41,2026-03-12
BANKINDIA, EQ, 12-Mar-2026,154.3,151.0,156.6,149.81,154.67,154.78,153.53,6364616,9771.55,35289,1653353,25.98,2026-03-12
BANKNIFTY1, EQ, 12-Mar-2026,57.7,57.71,57.71,56.71,56.85,56.89,56.95,1141835,650.33,3290,801954,70.23,2026-03-12
BANKPSU, EQ, 12-Mar-2026,88.91,88.1,89.76,87.03,88.92,88.8,88.98,43527,38.73,223,37670,86.54,2026-03-12
BANSALWIRE, EQ, 12-Mar-2026,247.45,249.8,251.5,228.2,244.15,245.3,241.15,236350,569.95,7637,101873,43.1,2026-03-12
BANSWRAS, EQ, 12-Mar-2026,114.48,112.19,113.39,111.01,111.8,111.89,112.19,13043,14.63,185,7311,56.05,2026-03-12
BASF, EQ, 12-Mar-2026,3453.4,3445.0,3495.0,3378.2,3482.2,3469.7,3436.91,16674,573.07,3941,8983,53.87,2026-03-12
BASML, EQ, 12-Mar-2026,20.7,21.38,21.38,19.8,20.46,20.49,20.26,246009,49.84,1080,143519,58.34,2026-03-12
BATAINDIA, EQ, 12-Mar-2026,718.7,718.5,733.0,707.0,714.0,713.95,715.63,183133,1310.56,13258,77557,42.35,2026-03-12
BAYERCROP, EQ, 12-Mar-2026,4520.6,4480.0,4529.1,4456.6,4500.1,4502.5,4500.99,41072,1848.65,3765,35927,87.47,2026-03-12
BBETF0432, EQ, 12-Mar-2026,1311.0,1304.45,1319.35,1304.45,1319.17,1319.18,1318.04,1860,24.52,62,1702,91.51,2026-03-12
BBL, EQ, 12-Mar-2026,2375.2,2351.5,2424.0,2315.1,2391.0,2408.1,2367.74,29067,688.23,3086,16964,58.36,2026-03-12
BBNPNBETF, EQ, 12-Mar-2026,56.19,56.97,56.97,54.6,55.61,55.53,55.45,2191,1.21,44,1818,82.98,2026-03-12
BBNPPGOLD, EQ, 12-Mar-2026,155.55,154.7,155.35,153.75,155.25,155.25,155.11,33162,51.44,271,26731,80.61,2026-03-12
BBOX, EQ, 12-Mar-2026,514.1,507.0,533.0,505.0,522.85,522.15,522.42,307825,1608.14,10361,118463,38.48,2026-03-12
BBTC, EQ, 12-Mar-2026,1570.4,1574.4,1594.0,1539.0,1559.3,1570.9,1574.47,43038,677.62,5702,23191,53.88,2026-03-12
BBTCL, EQ, 12-Mar-2026,167.97,167.46,167.46,165.0,165.0,165.0,166.03,12,0.02,7,4,33.33,2026-03-12
BCLIND, EQ, 12-Mar-2026,28.54,28.2,28.49,27.8,28.16,28.26,28.21,399154,112.58,1912,168820,42.29,2026-03-12
BCONCEPTS, EQ, 12-Mar-2026,249.05,246.9,249.7,240.0,240.0,242.75,244.36,5105,12.47,344,3328,65.19,2026-03-12
BDL, EQ, 12-Mar-2026,1360.0,1344.9,1355.1,1325.8,1345.7,1349.4,1341.03,1295186,17368.88,34817,364919,28.18,2026-03-12
BEARDSELL, EQ, 12-Mar-2026,23.47,24.77,24.77,23.2,23.45,23.5,23.45,29388,6.89,151,18591,63.26,2026-03-12
BECTORFOOD, EQ, 12-Mar-2026,187.7,189.33,190.27,181.6,184.0,184.61,184.63,922518,1703.21,22561,545398,59.12,2026-03-12
